Unnamed: 0,title,level,language,crediteligibility,processed_title,unique_title,level_encoded,language_encoded,credit_eligibility_encoded
67.0,"Machine Learning, Data Science and Generative AI with Python",Beginner,Spanish,No,"machine learning, data science and generative ai with python",9,1,4,0
68.0,"Git Complete: The definitive, step-by-step guide to Git",All Levels,German,No,"git complete: the definitive, step-by-step guide to git",68,0,3,0
69.0,The Modern Python 3 Bootcamp,Beginner,German,Yes,the modern python 3 bootcamp,69,1,3,1
70.0,Learn and Understand NodeJS,All Levels,English,Yes,learn and understand nodejs,70,0,1,1
71.0,Alteryx Bootcamp,Beginner,Chinese,Yes,alteryx bootcamp,71,1,0,1
72.0,The Complete Android N Developer Course,Intermediate,Chinese,No,the complete android n developer course,20,3,0,0
73.0,JavaScript - The Complete Guide 2023 (Beginner + Advanced),All Levels,Spanish,No,javascript - the complete guide 2023 (beginner + advanced),73,0,4,0
74.0,Kubernetes Certified Application Developer (CKAD) with Tests,Expert,Chinese,Yes,kubernetes certified application developer (ckad) with tests,74,2,0,1
75.0,Complete C# Masterclass,Expert,Spanish,No,complete c# masterclass,75,2,4,0
76.0,"Complete React Developer in 2023 (w/ Redux, Hooks, GraphQL)",Intermediate,English,No,"complete react developer in 2023 (w/ redux, hooks, graphql)",42,3,1,0
77.0,Python A-Z™: Python For Data Science With Real Exercises!,Expert,German,Yes,python a-z™: python for data science with real exercises!,32,2,3,1
78.0,The Complete Angular Course: Beginner to Advanced,Expert,German,Yes,the complete angular course: beginner to advanced,78,2,3,1
79.0,Ethereum and Solidity: The Complete Developer's Guide,All Levels,German,Yes,ethereum and solidity: the complete developer's guide,79,0,3,1
80.0,Modern HTML & CSS From The Beginning (Including Sass),Expert,Chinese,No,modern html & css from the beginning (including sass),80,2,0,0
81.0,The Complete Java Certification Course,Intermediate,English,Yes,the complete java certification course,49,3,1,1
82.0,Microsoft SQL for Beginners,Beginner,Chinese,No,microsoft sql for beginners,36,1,0,0
83.0,JavaScript Algorithms and Data Structures Masterclass,Expert,Chinese,No,javascript algorithms and data structures masterclass,43,2,0,0
84.0,The Complete 2023 Software Testing Bootcamp,Beginner,English,No,the complete 2023 software testing bootcamp,1,1,1,0
85.0,Responsive Web Design: HTML5 + CSS3 for Entrepreneurs 2018,Beginner,English,Yes,responsive web design: html5 + css3 for entrepreneurs 2018,85,1,1,1
86.0,PHP for Beginners - Become a PHP Master - CMS Project,Intermediate,English,Yes,php for beginners - become a php master - cms project,86,3,1,1
87.0,Angular & NodeJS - The MEAN Stack Guide [2023 Edition],All Levels,English,Yes,angular & nodejs - the mean stack guide [2023 edition],5,0,1,1
88.0,Python for beginners,All Levels,German,No,python for beginners,63,0,3,0
89.0,Learn C++ Programming -Beginner to Advance- Deep Dive in C++,All Levels,French,Yes,learn c++ programming -beginner to advance- deep dive in c++,89,0,2,1
90.0,The Complete Python Programming Course: Beginner to Advanced,All Levels,French,Yes,the complete python programming course: beginner to advanced,78,0,2,1
91.0,MongoDB - The Complete Developer's Guide 2023,Expert,English,No,mongodb - the complete developer's guide 2023,91,2,1,0
92.0,The Complete React Developer Course (w/ Hooks and Redux),Beginner,French,No,the complete react developer course (w/ hooks and redux),42,1,2,0
93.0,Spark and Python for Big Data with PySpark,Intermediate,French,Yes,spark and python for big data with pyspark,93,3,2,1
94.0,Become a WordPress Developer: Unlocking Power With Code,Expert,English,Yes,become a wordpress developer: unlocking power with code,94,2,1,1
95.0,Docker & Kubernetes: The Practical Guide [2023 Edition],Expert,French,No,docker & kubernetes: the practical guide [2023 edition],5,2,2,0
96.0,Java In-Depth: Become a Complete Java Engineer!,Expert,Chinese,No,java in-depth: become a complete java engineer!,96,2,0,0
97.0,Build an app with ASPNET Core and Angular from scratch,Beginner,Spanish,No,build an app with aspnet core and angular from scratch,97,1,4,0
98.0,C# Advanced Topics: Prepare for Technical Interviews,Intermediate,Spanish,Yes,c# advanced topics: prepare for technical interviews,98,3,4,1
99.0,Learn How To Code: Google's Go (golang) Programming Language,Intermediate,English,Yes,learn how to code: google's go (golang) programming language,99,3,1,1
100.0,Learn and Understand AngularJS,All Levels,German,No,learn and understand angularjs,70,0,3,0
101.0,REST APIs with Flask and Python in 2023,Intermediate,English,Yes,rest apis with flask and python in 2023,101,3,1,1
102.0,The Agile Samurai Bootcamp,Expert,German,Yes,the agile samurai bootcamp,102,2,3,1
103.0,"Node.js, Express, MongoDB & More: The Complete Bootcamp 2024",All Levels,Spanish,Yes,"node.js, express, mongodb & more: the complete bootcamp 2024",103,0,4,1
104.0,Git Going Fast: One Hour Git Crash Course,Beginner,English,No,git going fast: one hour git crash course,104,1,1,0
105.0,Complete Guide to Elasticsearch,Intermediate,Chinese,Yes,complete guide to elasticsearch,105,3,0,1
106.0,Data Analysis with Pandas and Python,Expert,French,No,data analysis with pandas and python,106,2,2,0
107.0,The Complete Python Course | Learn Python by Doing in 2023,All Levels,German,Yes,the complete python course | learn python by doing in 2023,107,0,3,1
108.0,The Git & Github Bootcamp,Beginner,French,No,the git & github bootcamp,108,1,2,0
109.0,"Understanding Jira for users, managers and admins",Expert,French,No,"understanding jira for users, managers and admins",109,2,2,0
110.0,HTML5 and CSS3 Fundamentals,Beginner,English,Yes,html5 and css3 fundamentals,85,1,1,1
111.0,Learning Python for Data Analysis and Visualization Ver 1,Expert,French,Yes,learning python for data analysis and visualization ver 1,111,2,2,1
112.0,Complete Machine Learning & Data Science Bootcamp 2023,Intermediate,Chinese,No,complete machine learning & data science bootcamp 2023,9,3,0,0
113.0,The Ultimate Guide to Game Development with Unity (Official),Beginner,French,No,the ultimate guide to game development with unity (official),113,1,2,0
114.0,Spring Framework 5: Beginner to Guru,All Levels,English,Yes,spring framework 5: beginner to guru,114,0,1,1
115.0,MasterClass Software Testing with Jira & Agile -Be a QA Lead,Expert,Chinese,No,masterclass software testing with jira & agile -be a qa lead,115,2,0,0
116.0,The Complete Oracle SQL Bootcamp (2023),Expert,Spanish,No,the complete oracle sql bootcamp (2023),1,2,4,0
117.0,Learn Python & Ethical Hacking From Scratch,Expert,French,Yes,learn python & ethical hacking from scratch,117,2,2,1
118.0,Appium -Mobile Testing (Android/IOS) from Scratch+Frameworks,All Levels,English,Yes,appium -mobile testing (android/ios) from scratch+frameworks,118,0,1,1
119.0,Angular Crash Course for Busy Developers,All Levels,Spanish,Yes,angular crash course for busy developers,119,0,4,1
120.0,The Complete Android Oreo Developer Course - Build 23 Apps!,Intermediate,Spanish,Yes,the complete android oreo developer course - build 23 apps!,120,3,4,1
121.0,Apache Spark with Scala - Hands On with Big Data!,Expert,German,No,apache spark with scala - hands on with big data!,93,2,3,0
122.0,Python for Financial Analysis and Algorithmic Trading,All Levels,Chinese,Yes,python for financial analysis and algorithmic trading,122,0,0,1
123.0,Selenium 4 WebDriver with Java(Basics + Advance + Architect),All Levels,French,Yes,selenium 4 webdriver with java(basics + advance + architect),12,0,2,1
124.0,Learn JMETER from Scratch on Live Apps -Performance Testing,Intermediate,English,Yes,learn jmeter from scratch on live apps -performance testing,124,3,1,1
125.0,Javascript for Beginners Learn by Doing Practical Exercises,Expert,German,Yes,javascript for beginners learn by doing practical exercises,125,2,3,1
126.0,Complete Guide to TensorFlow for Deep Learning with Python,Intermediate,Chinese,No,complete guide to tensorflow for deep learning with python,126,3,0,0
127.0,Bootstrap 4 From Scratch With 5 Projects,Intermediate,German,No,bootstrap 4 from scratch with 5 projects,127,3,3,0
128.0,The Ultimate Excel Programmer Course,Intermediate,Chinese,Yes,the ultimate excel programmer course,128,3,0,1
129.0,Bash Scripting and Shell Programming (Linux Command Line),Intermediate,Chinese,Yes,bash scripting and shell programming (linux command line),129,3,0,1
130.0,Microservices with Node JS and React,All Levels,French,Yes,microservices with node js and react,130,0,2,1
131.0,WebServices/Rest API Testing with SoapUI +Real time Projects,All Levels,Chinese,Yes,webservices/rest api testing with soapui +real time projects,131,0,0,1
132.0,Data Science and Machine Learning Bootcamp with R,Expert,German,No,data science and machine learning bootcamp with r,9,2,3,0
133.0,"Ionic - Build iOS, Android & Web Apps with Ionic & Angular",Intermediate,Chinese,No,"ionic - build ios, android & web apps with ionic & angular",133,3,0,0
134.0,Selenium Webdriver with PYTHON from Scratch + Frameworks,Expert,French,No,selenium webdriver with python from scratch + frameworks,12,2,2,0
135.0,"Jenkins, From Zero To Hero: Become a DevOps Jenkins Master",Expert,French,No,"jenkins, from zero to hero: become a devops jenkins master",135,2,2,0
136.0,Postman: The Complete Guide - REST API Testing,Intermediate,German,Yes,postman: the complete guide - rest api testing,55,3,3,1
137.0,Learn JAVA Programming - Beginner to Master,Intermediate,Spanish,No,learn java programming - beginner to master,49,3,4,0
138.0,Java Programming: Complete Beginner to Advanced,All Levels,Spanish,No,java programming: complete beginner to advanced,49,0,4,0
139.0,Learn DevOps: CI/CD with Jenkins using Pipelines and Docker,Intermediate,Chinese,Yes,learn devops: ci/cd with jenkins using pipelines and docker,139,3,0,1
140.0,"GitLab CI: Pipelines, CI/CD and DevOps for Beginners",Intermediate,English,No,"gitlab ci: pipelines, ci/cd and devops for beginners",54,3,1,0
141.0,SOLID Principles: Introducing Software Architecture & Design,Beginner,Chinese,No,solid principles: introducing software architecture & design,141,1,0,0
142.0,The Complete Ruby on Rails Developer Course,Intermediate,German,No,the complete ruby on rails developer course,142,3,3,0
143.0,"MERN Stack Front To Back: Full Stack React, Redux & Node.js",Intermediate,German,Yes,"mern stack front to back: full stack react, redux & node.js",143,3,3,1
144.0,Taming Big Data with Apache Spark and Python - Hands On!,Expert,German,Yes,taming big data with apache spark and python - hands on!,93,2,3,1
145.0,NLP - Natural Language Processing with Python,Intermediate,German,Yes,nlp - natural language processing with python,145,3,3,1
146.0,Docker Crash Course for busy DevOps and Developers,Expert,German,Yes,docker crash course for busy devops and developers,119,2,3,1
147.0,Data Structures and Algorithms:  Deep Dive Using Java,Intermediate,French,No,data structures and algorithms:  deep dive using java,43,3,2,0
148.0,Learn HTML5 Programming From Scratch,Expert,Spanish,No,learn html5 programming from scratch,148,2,4,0
149.0,The Complete WordPress Website Business Course,All Levels,German,Yes,the complete wordpress website business course,149,0,3,1
150.0,Core Java Made Easy (Covers the latest Java 17),Intermediate,English,Yes,core java made easy (covers the latest java 17),150,3,1,1
151.0,Node with React: Fullstack Web Development,Expert,English,Yes,node with react: fullstack web development,151,2,1,1
152.0,Learn Spring Boot 3 in 100 Steps - No 1 Java Framework,Intermediate,English,No,learn spring boot 3 in 100 steps - no 1 java framework,152,3,1,0
153.0,The Coding Interview Bootcamp: Algorithms + Data Structures,Expert,English,No,the coding interview bootcamp: algorithms + data structures,43,2,1,0
154.0,Learn DevOps: Infrastructure Automation With Terraform,Beginner,French,Yes,learn devops: infrastructure automation with terraform,154,1,2,1
155.0,Ultimate Web Designer & Web Developer Course,Intermediate,English,Yes,ultimate web designer & web developer course,20,3,1,1
156.0,Master Java Web Services and REST API with Spring Boot,All Levels,German,Yes,master java web services and rest api with spring boot,156,0,3,1
157.0,"The Complete PL/SQL Bootcamp : ""Beginner to Advanced PL/SQL""",All Levels,Chinese,Yes,"the complete pl/sql bootcamp : ""beginner to advanced pl/sql""",157,0,0,1
158.0,Next.js & React - The Complete Guide (incl. Two Paths!),Expert,English,Yes,next.js & react - the complete guide (incl. two paths!),158,2,1,1
159.0,Build Websites from Scratch with HTML & CSS,Beginner,French,Yes,build websites from scratch with html & css,14,1,2,1
160.0,The Complete Front-End Web Development Course,Expert,French,Yes,the complete front-end web development course,1,2,2,1
161.0,Introduction to Machine Learning for Data Science,Beginner,English,Yes,introduction to machine learning for data science,9,1,1,1
162.0,ES6 Javascript: The Complete Developer's Guide,Beginner,Chinese,No,es6 javascript: the complete developer's guide,162,1,0,0
163.0,Quick Introduction to Postman and API Testing for Beginners,Expert,English,Yes,quick introduction to postman and api testing for beginners,163,2,1,1
164.0,iOS 10 & Swift 3: From Beginner to Paid Professional™,All Levels,French,No,ios 10 & swift 3: from beginner to paid professional™,164,0,2,0
165.0,Python for Machine Learning & Data Science Masterclass,Expert,Spanish,Yes,python for machine learning & data science masterclass,9,2,4,1
166.0,Scala & Functional Programming Essentials | Rock the JVM,Intermediate,German,No,scala & functional programming essentials | rock the jvm,166,3,3,0
167.0,Selenium WebDriver with Java for beginners,Beginner,French,Yes,selenium webdriver with java for beginners,12,1,2,1
168.0,JavaScript: The Advanced Concepts (2023 Update),Intermediate,English,Yes,javascript: the advanced concepts (2023 update),168,3,1,1
169.0,Cypress -Modern Automation Testing from Scratch + Frameworks,Expert,German,No,cypress -modern automation testing from scratch + frameworks,169,2,3,0
170.0,AWS Serverless APIs & Apps - A Complete Introduction,All Levels,English,Yes,aws serverless apis & apps - a complete introduction,170,0,1,1
171.0,Entity Framework in Depth: The Complete Guide,Intermediate,English,No,entity framework in depth: the complete guide,171,3,1,0
172.0,"DevOps: CI/CD with Jenkins pipelines, Maven, Gradle",All Levels,Spanish,No,"devops: ci/cd with jenkins pipelines, maven, gradle",139,0,4,0
173.0,.NET Core MVC - The Complete Guide 2023 [E-commerce] [.NET8],Intermediate,German,No,.net core mvc - the complete guide 2023 [e-commerce] [.net8],173,3,3,0
174.0,Complete UiPath RPA Developer Course: Build 7 Robots,Intermediate,German,Yes,complete uipath rpa developer course: build 7 robots,174,3,3,1
175.0,The Modern JavaScript Bootcamp,Expert,Spanish,No,the modern javascript bootcamp,69,2,4,0
176.0,PHP with Laravel for beginners - Become a Master in Laravel,Expert,French,Yes,php with laravel for beginners - become a master in laravel,176,2,2,1
177.0,Learn to Code in Python 3: Programming beginner to advanced,Beginner,English,No,learn to code in python 3: programming beginner to advanced,15,1,1,0
178.0,AWS CloudFormation Master Class v2 [2023],Expert,Chinese,Yes,aws cloudformation master class v2 [2023],178,2,0,1
179.0,Accelerated ES6 JavaScript Training,Intermediate,English,No,accelerated es6 javascript training,162,3,1,0
180.0,Typescript: The Complete Developer's Guide,Expert,English,No,typescript: the complete developer's guide,52,2,1,0
181.0,The Complete Android 14 & Kotlin Development Masterclass,Expert,French,Yes,the complete android 14 & kotlin development masterclass,181,2,2,1
182.0,"Beginner Full Stack Web Development: HTML, CSS, React & Node",Beginner,English,Yes,"beginner full stack web development: html, css, react & node",151,1,1,1
183.0,Microservices: Designing Highly Scalable Systems,Beginner,Spanish,Yes,microservices: designing highly scalable systems,183,1,4,1
184.0,Data Science: Natural Language Processing (NLP) in Python,Expert,Spanish,Yes,data science: natural language processing (nlp) in python,145,2,4,1
185.0,The Modern Javascript Bootcamp Course (2022),All Levels,German,Yes,the modern javascript bootcamp course (2022),69,0,3,1
186.0,Node.js: The Complete Guide to Build RESTful APIs (2018),Intermediate,Chinese,Yes,node.js: the complete guide to build restful apis (2018),186,3,0,1
187.0,Programming with Python : HandsOn Introduction for Beginners,Beginner,English,Yes,programming with python : handson introduction for beginners,187,1,1,1
188.0,ISTQB Foundation Level Complete Training,Beginner,English,Yes,istqb foundation level complete training,65,1,1,1
189.0,Bash Shell Scripting: Crash Course For Beginners,Expert,French,Yes,bash shell scripting: crash course for beginners,129,2,2,1
190.0,Pre-Programming: Everything you need to know before you code,Beginner,Spanish,No,pre-programming: everything you need to know before you code,190,1,4,0
191.0,"JSP, Servlets and JDBC for Beginners: Build a Database App",Expert,Chinese,No,"jsp, servlets and jdbc for beginners: build a database app",191,2,0,0
192.0,SQL Programming Basics,Beginner,German,No,sql programming basics,192,1,3,0
193.0,Design Patterns in C# and .NET,Intermediate,Spanish,No,design patterns in c# and .net,193,3,4,0
194.0,GitHub Ultimate: Master Git and GitHub - Beginner to Expert,Expert,German,Yes,github ultimate: master git and github - beginner to expert,108,2,3,1
195.0,"Python for Data Structures, Algorithms, and Interviews!",Intermediate,French,No,"python for data structures, algorithms, and interviews!",43,3,2,0
196.0,Statistics for Business Analytics and Data Science A-Z™,All Levels,French,No,statistics for business analytics and data science a-z™,47,0,2,0
197.0,Advanced React and Redux,Intermediate,English,No,advanced react and redux,4,3,1,0
198.0,Unreal Engine 4: How to Develop Your First Two Games,Beginner,Chinese,Yes,unreal engine 4: how to develop your first two games,23,1,0,1
199.0,"50 Projects In 50 Days - HTML, CSS & JavaScript",Beginner,German,Yes,"50 projects in 50 days - html, css & javascript",199,1,3,1
200.0,RPG Core Combat Creator: Learn Intermediate Unity C# Coding,Intermediate,Spanish,No,rpg core combat creator: learn intermediate unity c# coding,200,3,4,0
201.0,The Complete iOS 10 & Swift 3 Developer Course,Expert,French,No,the complete ios 10 & swift 3 developer course,16,2,2,0
202.0,Progressive Web Apps (PWA) - The Complete Guide,Expert,English,No,progressive web apps (pwa) - the complete guide,202,2,1,0
203.0,Robot Framework Test Automation - Level 1 ( Selenium ),Beginner,English,Yes,robot framework test automation - level 1 ( selenium ),203,1,1,1
204.0,Clean Code,Intermediate,German,No,clean code,204,3,3,0
205.0,"React, NodeJS, Express & MongoDB - The MERN Fullstack Guide",Intermediate,French,No,"react, nodejs, express & mongodb - the mern fullstack guide",205,3,2,0
206.0,The Complete Prompt Engineering for AI Bootcamp (2023),Intermediate,Chinese,Yes,the complete prompt engineering for ai bootcamp (2023),206,3,0,1
207.0,Master Hibernate and JPA with Spring Boot in 100 Steps,All Levels,French,No,master hibernate and jpa with spring boot in 100 steps,19,0,2,0
208.0,Practice Java by Building Projects,All Levels,German,No,practice java by building projects,208,0,3,0
209.0,Learn Cucumber BDD with Java -MasterClass Selenium Framework,All Levels,German,No,learn cucumber bdd with java -masterclass selenium framework,209,0,3,0
210.0,Python 3: Deep Dive (Part 1 - Functional),Intermediate,French,No,python 3: deep dive (part 1 - functional),89,3,2,0
211.0,Flutter - Beginners Course,Beginner,German,No,flutter - beginners course,211,1,3,0
212.0,"Modern JavaScript (Complete guide, from Novice to Ninja)",All Levels,French,No,"modern javascript (complete guide, from novice to ninja)",212,0,2,0
213.0,Ethereum Blockchain Developer Bootcamp With Solidity (2023),All Levels,Spanish,No,ethereum blockchain developer bootcamp with solidity (2023),79,0,4,0
214.0,C++: From Beginner to Expert,All Levels,French,No,c++: from beginner to expert,17,0,2,0
215.0,Unit Testing for C# Developers,Expert,French,Yes,unit testing for c# developers,215,2,2,1
216.0,Android Java Masterclass - Become an App Developer,Expert,German,No,android java masterclass - become an app developer,216,2,3,0
217.0,Tensorflow 2.0: Deep Learning and Artificial Intelligence,All Levels,German,No,tensorflow 2.0: deep learning and artificial intelligence,126,0,3,0
218.0,Unreal Engine 5: The Complete Beginner's Course,Beginner,English,No,unreal engine 5: the complete beginner's course,218,1,1,0
219.0,GraphQL with React: The Complete Developers Guide,Intermediate,English,Yes,graphql with react: the complete developers guide,219,3,1,1
220.0,Python for Computer Vision with OpenCV and Deep Learning,Intermediate,Spanish,No,python for computer vision with opencv and deep learning,220,3,4,0
221.0,Learn Git by Doing: A step-by-step guide to version control,Beginner,English,Yes,learn git by doing: a step-by-step guide to version control,68,1,1,1
222.0,Modern Java - Learn Java 8 Functional Features By coding it,Expert,French,No,modern java - learn java 8 functional features by coding it,222,2,2,0
223.0,"Java Multithreading, Concurrency & Performance Optimization",Expert,German,Yes,"java multithreading, concurrency & performance optimization",223,2,3,1
