Unnamed: 0,title,level,language,crediteligibility
44.0,"Advanced CSS and Sass: Flexbox, Grid, Animations and More!",Intermediate,Spanish,No
45.0,Apache Kafka Series - Learn Apache Kafka for Beginners v3,Expert,English,No
46.0,Complete C# Unity Game Developer 3D,Intermediate,Spanish,Yes
47.0,Statistics for Data Science and Business Analysis,Expert,Chinese,Yes
48.0,Python for Beginners: Learn Python Programming (Python 3),Expert,Spanish,Yes
49.0,Java Programming for Complete Beginners,Beginner,German,Yes
50.0,React Native - The Practical Guide [2023],Expert,German,Yes
51.0,HTML and CSS for Beginners - Build a Website & Launch ONLINE,Expert,German,Yes
52.0,Go: The Complete Developer's Guide (Golang),Intermediate,German,No
53.0,"C# Intermediate: Classes, Interfaces and OOP",Intermediate,Chinese,Yes
54.0,"DevOps , CI/CD(Continuous Integration/Delivery for Beginners",Beginner,French,Yes
55.0,Rest API Testing (Automation) from Scratch-Rest Assured Java,Intermediate,English,No
56.0,Master the Coding Interview: Data Structures + Algorithms,Expert,German,No
57.0,Data Science A-Z™: Hands-On Exercises & ChatGPT Bonus [2023],Expert,Spanish,No
58.0,The Complete ASP.NET MVC 5 Course,Intermediate,German,No
59.0,Artificial Intelligence A-Z 2023: Build 5 AI (incl. ChatGPT),Expert,Spanish,No
60.0,Learn JIRA with real-world examples (+Confluence bonus),Expert,Spanish,Yes
61.0,C Programming For Beginners - Master the C Language,All Levels,German,Yes
62.0,Modern JavaScript From The Beginning 2.0 - 2023 Revamp,Expert,Chinese,No
63.0,Python for Absolute Beginners,Beginner,Spanish,No
64.0,JavaScript Basics for Beginners,Beginner,Spanish,No
65.0,Certified Tester ISTQB® Foundation Level (CTFL) Updated 2022,All Levels,German,No
66.0,Relational Database Design,Expert,Spanish,Yes
67.0,"Machine Learning, Data Science and Generative AI with Python",Beginner,Spanish,No
68.0,"Git Complete: The definitive, step-by-step guide to Git",All Levels,German,No
69.0,The Modern Python 3 Bootcamp,Beginner,German,Yes
70.0,Learn and Understand NodeJS,All Levels,English,Yes
71.0,Alteryx Bootcamp,Beginner,Chinese,Yes
72.0,The Complete Android N Developer Course,Intermediate,Chinese,No
73.0,JavaScript - The Complete Guide 2023 (Beginner + Advanced),All Levels,Spanish,No
74.0,Kubernetes Certified Application Developer (CKAD) with Tests,Expert,Chinese,Yes
75.0,Complete C# Masterclass,Expert,Spanish,No
76.0,"Complete React Developer in 2023 (w/ Redux, Hooks, GraphQL)",Intermediate,English,No
77.0,Python A-Z™: Python For Data Science With Real Exercises!,Expert,German,Yes
78.0,The Complete Angular Course: Beginner to Advanced,Expert,German,Yes
79.0,Ethereum and Solidity: The Complete Developer's Guide,All Levels,German,Yes
80.0,Modern HTML & CSS From The Beginning (Including Sass),Expert,Chinese,No
81.0,The Complete Java Certification Course,Intermediate,English,Yes
82.0,Microsoft SQL for Beginners,Beginner,Chinese,No
83.0,JavaScript Algorithms and Data Structures Masterclass,Expert,Chinese,No
84.0,The Complete 2023 Software Testing Bootcamp,Beginner,English,No
85.0,Responsive Web Design: HTML5 + CSS3 for Entrepreneurs 2018,Beginner,English,Yes
86.0,PHP for Beginners - Become a PHP Master - CMS Project,Intermediate,English,Yes
87.0,Angular & NodeJS - The MEAN Stack Guide [2023 Edition],All Levels,English,Yes
88.0,Python for beginners,All Levels,German,No
89.0,Learn C++ Programming -Beginner to Advance- Deep Dive in C++,All Levels,French,Yes
90.0,The Complete Python Programming Course: Beginner to Advanced,All Levels,French,Yes
91.0,MongoDB - The Complete Developer's Guide 2023,Expert,English,No
92.0,The Complete React Developer Course (w/ Hooks and Redux),Beginner,French,No
93.0,Spark and Python for Big Data with PySpark,Intermediate,French,Yes
94.0,Become a WordPress Developer: Unlocking Power With Code,Expert,English,Yes
95.0,Docker & Kubernetes: The Practical Guide [2023 Edition],Expert,French,No
96.0,Java In-Depth: Become a Complete Java Engineer!,Expert,Chinese,No
97.0,Build an app with ASPNET Core and Angular from scratch,Beginner,Spanish,No
98.0,C# Advanced Topics: Prepare for Technical Interviews,Intermediate,Spanish,Yes
99.0,Learn How To Code: Google's Go (golang) Programming Language,Intermediate,English,Yes
100.0,Learn and Understand AngularJS,All Levels,German,No
101.0,REST APIs with Flask and Python in 2023,Intermediate,English,Yes
102.0,The Agile Samurai Bootcamp,Expert,German,Yes
103.0,"Node.js, Express, MongoDB & More: The Complete Bootcamp 2024",All Levels,Spanish,Yes
104.0,Git Going Fast: One Hour Git Crash Course,Beginner,English,No
105.0,Complete Guide to Elasticsearch,Intermediate,Chinese,Yes
106.0,Data Analysis with Pandas and Python,Expert,French,No
107.0,The Complete Python Course | Learn Python by Doing in 2023,All Levels,German,Yes
108.0,The Git & Github Bootcamp,Beginner,French,No
109.0,"Understanding Jira for users, managers and admins",Expert,French,No
110.0,HTML5 and CSS3 Fundamentals,Beginner,English,Yes
111.0,Learning Python for Data Analysis and Visualization Ver 1,Expert,French,Yes
112.0,Complete Machine Learning & Data Science Bootcamp 2023,Intermediate,Chinese,No
113.0,The Ultimate Guide to Game Development with Unity (Official),Beginner,French,No
114.0,Spring Framework 5: Beginner to Guru,All Levels,English,Yes
115.0,MasterClass Software Testing with Jira & Agile -Be a QA Lead,Expert,Chinese,No
116.0,The Complete Oracle SQL Bootcamp (2023),Expert,Spanish,No
117.0,Learn Python & Ethical Hacking From Scratch,Expert,French,Yes
118.0,Appium -Mobile Testing (Android/IOS) from Scratch+Frameworks,All Levels,English,Yes
119.0,Angular Crash Course for Busy Developers,All Levels,Spanish,Yes
120.0,The Complete Android Oreo Developer Course - Build 23 Apps!,Intermediate,Spanish,Yes
121.0,Apache Spark with Scala - Hands On with Big Data!,Expert,German,No
122.0,Python for Financial Analysis and Algorithmic Trading,All Levels,Chinese,Yes
123.0,Selenium 4 WebDriver with Java(Basics + Advance + Architect),All Levels,French,Yes
124.0,Learn JMETER from Scratch on Live Apps -Performance Testing,Intermediate,English,Yes
125.0,Javascript for Beginners Learn by Doing Practical Exercises,Expert,German,Yes
126.0,Complete Guide to TensorFlow for Deep Learning with Python,Intermediate,Chinese,No
127.0,Bootstrap 4 From Scratch With 5 Projects,Intermediate,German,No
128.0,The Ultimate Excel Programmer Course,Intermediate,Chinese,Yes
129.0,Bash Scripting and Shell Programming (Linux Command Line),Intermediate,Chinese,Yes
130.0,Microservices with Node JS and React,All Levels,French,Yes
131.0,WebServices/Rest API Testing with SoapUI +Real time Projects,All Levels,Chinese,Yes
132.0,Data Science and Machine Learning Bootcamp with R,Expert,German,No
133.0,"Ionic - Build iOS, Android & Web Apps with Ionic & Angular",Intermediate,Chinese,No
134.0,Selenium Webdriver with PYTHON from Scratch + Frameworks,Expert,French,No
135.0,"Jenkins, From Zero To Hero: Become a DevOps Jenkins Master",Expert,French,No
136.0,Postman: The Complete Guide - REST API Testing,Intermediate,German,Yes
137.0,Learn JAVA Programming - Beginner to Master,Intermediate,Spanish,No
138.0,Java Programming: Complete Beginner to Advanced,All Levels,Spanish,No
139.0,Learn DevOps: CI/CD with Jenkins using Pipelines and Docker,Intermediate,Chinese,Yes
140.0,"GitLab CI: Pipelines, CI/CD and DevOps for Beginners",Intermediate,English,No
141.0,SOLID Principles: Introducing Software Architecture & Design,Beginner,Chinese,No
142.0,The Complete Ruby on Rails Developer Course,Intermediate,German,No
143.0,"MERN Stack Front To Back: Full Stack React, Redux & Node.js",Intermediate,German,Yes
144.0,Taming Big Data with Apache Spark and Python - Hands On!,Expert,German,Yes
145.0,NLP - Natural Language Processing with Python,Intermediate,German,Yes
146.0,Docker Crash Course for busy DevOps and Developers,Expert,German,Yes
147.0,Data Structures and Algorithms:  Deep Dive Using Java,Intermediate,French,No
148.0,Learn HTML5 Programming From Scratch,Expert,Spanish,No
149.0,The Complete WordPress Website Business Course,All Levels,German,Yes
150.0,Core Java Made Easy (Covers the latest Java 17),Intermediate,English,Yes
151.0,Node with React: Fullstack Web Development,Expert,English,Yes
152.0,Learn Spring Boot 3 in 100 Steps - No 1 Java Framework,Intermediate,English,No
153.0,The Coding Interview Bootcamp: Algorithms + Data Structures,Expert,English,No
154.0,Learn DevOps: Infrastructure Automation With Terraform,Beginner,French,Yes
155.0,Ultimate Web Designer & Web Developer Course,Intermediate,English,Yes
156.0,Master Java Web Services and REST API with Spring Boot,All Levels,German,Yes
157.0,"The Complete PL/SQL Bootcamp : ""Beginner to Advanced PL/SQL""",All Levels,Chinese,Yes
158.0,Next.js & React - The Complete Guide (incl. Two Paths!),Expert,English,Yes
159.0,Build Websites from Scratch with HTML & CSS,Beginner,French,Yes
160.0,The Complete Front-End Web Development Course,Expert,French,Yes
161.0,Introduction to Machine Learning for Data Science,Beginner,English,Yes
162.0,ES6 Javascript: The Complete Developer's Guide,Beginner,Chinese,No
163.0,Quick Introduction to Postman and API Testing for Beginners,Expert,English,Yes
164.0,iOS 10 & Swift 3: From Beginner to Paid Professional™,All Levels,French,No
165.0,Python for Machine Learning & Data Science Masterclass,Expert,Spanish,Yes
166.0,Scala & Functional Programming Essentials | Rock the JVM,Intermediate,German,No
167.0,Selenium WebDriver with Java for beginners,Beginner,French,Yes
168.0,JavaScript: The Advanced Concepts (2023 Update),Intermediate,English,Yes
169.0,Cypress -Modern Automation Testing from Scratch + Frameworks,Expert,German,No
170.0,AWS Serverless APIs & Apps - A Complete Introduction,All Levels,English,Yes
171.0,Entity Framework in Depth: The Complete Guide,Intermediate,English,No
172.0,"DevOps: CI/CD with Jenkins pipelines, Maven, Gradle",All Levels,Spanish,No
173.0,.NET Core MVC - The Complete Guide 2023 [E-commerce] [.NET8],Intermediate,German,No
174.0,Complete UiPath RPA Developer Course: Build 7 Robots,Intermediate,German,Yes
175.0,The Modern JavaScript Bootcamp,Expert,Spanish,No
176.0,PHP with Laravel for beginners - Become a Master in Laravel,Expert,French,Yes
177.0,Learn to Code in Python 3: Programming beginner to advanced,Beginner,English,No
178.0,AWS CloudFormation Master Class v2 [2023],Expert,Chinese,Yes
179.0,Accelerated ES6 JavaScript Training,Intermediate,English,No
180.0,Typescript: The Complete Developer's Guide,Expert,English,No
181.0,The Complete Android 14 & Kotlin Development Masterclass,Expert,French,Yes
182.0,"Beginner Full Stack Web Development: HTML, CSS, React & Node",Beginner,English,Yes
183.0,Microservices: Designing Highly Scalable Systems,Beginner,Spanish,Yes
184.0,Data Science: Natural Language Processing (NLP) in Python,Expert,Spanish,Yes
185.0,The Modern Javascript Bootcamp Course (2022),All Levels,German,Yes
186.0,Node.js: The Complete Guide to Build RESTful APIs (2018),Intermediate,Chinese,Yes
187.0,Programming with Python : HandsOn Introduction for Beginners,Beginner,English,Yes
188.0,ISTQB Foundation Level Complete Training,Beginner,English,Yes
189.0,Bash Shell Scripting: Crash Course For Beginners,Expert,French,Yes
190.0,Pre-Programming: Everything you need to know before you code,Beginner,Spanish,No
191.0,"JSP, Servlets and JDBC for Beginners: Build a Database App",Expert,Chinese,No
192.0,SQL Programming Basics,Beginner,German,No
193.0,Design Patterns in C# and .NET,Intermediate,Spanish,No
194.0,GitHub Ultimate: Master Git and GitHub - Beginner to Expert,Expert,German,Yes
195.0,"Python for Data Structures, Algorithms, and Interviews!",Intermediate,French,No
196.0,Statistics for Business Analytics and Data Science A-Z™,All Levels,French,No
197.0,Advanced React and Redux,Intermediate,English,No
198.0,Unreal Engine 4: How to Develop Your First Two Games,Beginner,Chinese,Yes
199.0,"50 Projects In 50 Days - HTML, CSS & JavaScript",Beginner,German,Yes
200.0,RPG Core Combat Creator: Learn Intermediate Unity C# Coding,Intermediate,Spanish,No
201.0,The Complete iOS 10 & Swift 3 Developer Course,Expert,French,No
202.0,Progressive Web Apps (PWA) - The Complete Guide,Expert,English,No
203.0,Robot Framework Test Automation - Level 1 ( Selenium ),Beginner,English,Yes
204.0,Clean Code,Intermediate,German,No
205.0,"React, NodeJS, Express & MongoDB - The MERN Fullstack Guide",Intermediate,French,No
206.0,The Complete Prompt Engineering for AI Bootcamp (2023),Intermediate,Chinese,Yes
207.0,Master Hibernate and JPA with Spring Boot in 100 Steps,All Levels,French,No
208.0,Practice Java by Building Projects,All Levels,German,No
209.0,Learn Cucumber BDD with Java -MasterClass Selenium Framework,All Levels,German,No
210.0,Python 3: Deep Dive (Part 1 - Functional),Intermediate,French,No
211.0,Flutter - Beginners Course,Beginner,German,No
212.0,"Modern JavaScript (Complete guide, from Novice to Ninja)",All Levels,French,No
213.0,Ethereum Blockchain Developer Bootcamp With Solidity (2023),All Levels,Spanish,No
214.0,C++: From Beginner to Expert,All Levels,French,No
215.0,Unit Testing for C# Developers,Expert,French,Yes
216.0,Android Java Masterclass - Become an App Developer,Expert,German,No
217.0,Tensorflow 2.0: Deep Learning and Artificial Intelligence,All Levels,German,No
218.0,Unreal Engine 5: The Complete Beginner's Course,Beginner,English,No
219.0,GraphQL with React: The Complete Developers Guide,Intermediate,English,Yes
220.0,Python for Computer Vision with OpenCV and Deep Learning,Intermediate,Spanish,No
221.0,Learn Git by Doing: A step-by-step guide to version control,Beginner,English,Yes
222.0,Modern Java - Learn Java 8 Functional Features By coding it,Expert,French,No
223.0,"Java Multithreading, Concurrency & Performance Optimization",Expert,German,Yes
224.0,Selenium WebDriver 4 With Java - Novice To Ninja + Interview,Expert,English,Yes
225.0,Introduction to OpenAI API & ChatGPT API for Developers,All Levels,English,Yes
226.0,Xamarin Forms: Build Native Cross-platform Apps with C#,All Levels,Spanish,No
227.0,Software Engineering 101: Plan and Execute Better Software.,All Levels,Spanish,No
228.0,DP-900 Azure Data Fundamentals Exam Prep In One Day,Beginner,French,Yes
229.0,Artificial Intelligence: Reinforcement Learning in Python,Intermediate,German,No
230.0,Microservices Software Architecture: Patterns and Techniques,All Levels,Spanish,Yes
231.0,Introduction to Windows PowerShell 5.1,Intermediate,English,No
232.0,Python for Beginners with Examples,Beginner,German,No
233.0,Data Structures A-Z : Data Structures + Algorithms Bootcamp,Intermediate,German,Yes
234.0,Teach Your Kids to Code: Learn to Program Python at Any Age!,Intermediate,English,Yes
235.0,Web Development Masterclass - Online Certification Course,Intermediate,Spanish,No
236.0,Data Science: Deep Learning and Neural Networks in Python,Intermediate,English,Yes
237.0,Go Java Full Stack with Spring Boot and Angular,All Levels,German,Yes
238.0,Node JS: Advanced Concepts,Intermediate,Chinese,No
239.0,Complete Java SE 8 Developer Bootcamp - OCA Prep Included,All Levels,Chinese,Yes
240.0,The Advanced Web Developer Bootcamp,Intermediate,French,No
241.0,The Complete Hands-On Introduction to Apache Airflow,Intermediate,English,No
242.0,Selenium WebDriver Masterclass with C#,All Levels,English,Yes
243.0,Full Stack: Angular and Java Spring Boot E-Commerce Website,Intermediate,French,Yes
244.0,Software Testing Masterclass (2023) - From Novice to Expert,Expert,French,Yes
245.0,Python for beginners - Learn all the basics of python,Beginner,French,No
246.0,Python OOP : Four Pillars of OOP in Python 3 for Beginners,Beginner,German,Yes
247.0,Advanced Javascript,Intermediate,English,No
248.0,NestJS Zero to Hero - Modern TypeScript Back-end Development,Expert,German,Yes
249.0,TensorFlow Developer Certificate in 2023: Zero to Mastery,Intermediate,French,Yes
250.0,React Front To Back,All Levels,English,No
251.0,Coding for Beginners 1: You Can Learn to Code!,Beginner,German,Yes
252.0,Python and Django for Beginners,Beginner,German,Yes
253.0,Full Stack Java developer - Java + JSP + Spring Restful + JS,All Levels,French,No
254.0,POSTMAN API Testing - Step by Step for Beginners,Intermediate,English,Yes
255.0,R Programming: Advanced Analytics In R For Data Science,Intermediate,French,Yes
256.0,"HTML, CSS, & JavaScript - Certification Course for Beginners",Beginner,English,No
257.0,The Complete Salesforce Development Course,Intermediate,Chinese,Yes
258.0,Shell Scripting: Discover How to Automate Command Line Tasks,Expert,Spanish,Yes
259.0,Interactive Python Dashboards with Plotly and Dash,Intermediate,Spanish,No
260.0,Python and Flask Bootcamp: Create Websites using Flask!,All Levels,Spanish,Yes
261.0,SQL for Data Analysis: Beginner MySQL Business Intelligence,Intermediate,French,Yes
262.0,Complete Python Programming Masterclass Beginner to Advanced,Intermediate,Chinese,Yes
263.0,Python Network Programming for Network Engineers (Python 3),Beginner,English,No
264.0,Terraform for the Absolute Beginners with Labs,Beginner,German,Yes
265.0,"Angular (Full App) with Angular Material, Angularfire & NgRx",All Levels,English,No
266.0,Design Patterns in Java,Intermediate,German,Yes
267.0,The Complete Web Development Course - Build 15 Projects,All Levels,English,Yes
268.0,SQL and PostgreSQL: The Complete Developer's Guide,Beginner,Chinese,Yes
269.0,Microservices with Spring Cloud,Intermediate,German,Yes
270.0,Selenium WebDriver with Java & Cucumber BDD,Beginner,French,Yes
271.0,"The Modern React Bootcamp (Hooks, Context, NextJS, Router)",Beginner,English,Yes
272.0,The Complete jQuery Course: From Beginner To Advanced!,Intermediate,English,Yes
273.0,Natural Language Processing with Deep Learning in Python,Expert,German,Yes
274.0,Complete Tensorflow 2 and Keras Deep Learning Bootcamp,All Levels,French,Yes
275.0,Learn Object Oriented PHP By Building a Complete Website,All Levels,French,No
276.0,Build a Backend REST API with Python & Django - Advanced,Intermediate,Chinese,Yes
277.0,The Complete Developers Guide to MongoDB,All Levels,French,No
278.0,Complete Elasticsearch Masterclass with Logstash and Kibana,All Levels,French,No
279.0,Python for Time Series Data Analysis,Intermediate,French,Yes
280.0,Java for Absolute Beginners,Beginner,Spanish,No
281.0,Oracle Database 12c SQL Certified Associate 1Z0-071,All Levels,Chinese,No
282.0,Spring Boot Microservices and Spring Cloud. Build & Deploy.,Expert,English,No
283.0,Learn Manual Software Testing + Agile with Jira Tool,All Levels,German,No
284.0,Unreal Engine Blueprint Game Developer,Beginner,English,Yes
285.0,Easy to Advanced Data Structures,All Levels,Chinese,No
286.0,Microsoft SQL from A to Z,All Levels,German,Yes
287.0,The Complete Java Development Bootcamp,All Levels,Chinese,No
288.0,30 Days of Python | Unlock your Python Potential,Expert,French,No
289.0,The Complete Data Structures and Algorithms Course in Python,Intermediate,German,No
290.0,How To Become An Outstanding Solution Architect,All Levels,French,Yes
291.0,Apache Spark 3 - Spark Programming in Python for Beginners,Expert,English,Yes
292.0,Web Development w/ Google’s Go (golang) Programming Language,Intermediate,English,Yes
293.0,GCP: Complete Google Data Engineer and Cloud Architect Guide,All Levels,German,Yes
294.0,Salesforce Development Training for Beginners,All Levels,German,No
295.0,Build Web Apps with Vue JS 3 & Firebase,All Levels,Chinese,Yes
296.0,Python Masterclass 2023: Build 19 Real World Python Projects,All Levels,Chinese,No
297.0,Informatica Tutorial: Beginner to Expert Level,Expert,French,Yes
298.0,Blender Character Creator for Video Games Design,Beginner,German,No
299.0,The Complete 2020 Fullstack Web Developer Course,Expert,English,No
300.0,The Complete ServiceNow Developer Course,Intermediate,Chinese,Yes
301.0,Git a Web Developer Job: Mastering the Modern Workflow,Beginner,Chinese,No
302.0,The Complete Elixir and Phoenix Bootcamp,All Levels,English,No
303.0,Software Development: Better Requirements Gathering Skills,Intermediate,Chinese,No
304.0,Mastering SQL Server 2016 Integration Services (SSIS)-Part 1,All Levels,French,No
305.0,"Complete Web Design: HTML, CSS, Javascript, jQuery, Vue, Git",Beginner,German,No
306.0,Python For Everybody : Python Programming MADE EASY,Beginner,English,Yes
307.0,Python Programming - From Basics to Advanced level,All Levels,German,Yes
308.0,"The Ultimate React Course 2024: React, Redux & More",All Levels,Chinese,No
309.0,Fundamentals of Database Engineering,Intermediate,Chinese,No
310.0,Kubernetes Hands-On - Deploy Microservices to the AWS Cloud,Intermediate,English,Yes
311.0,C Programming Bootcamp - The Complete C Language Course,All Levels,French,Yes
312.0,Machine Learning for Absolute Beginners - Level 1,Beginner,Spanish,Yes
313.0,MERN From Scratch 2023 | eCommerce Platform,All Levels,English,No
314.0,The Complete Machine Learning Course with Python,Intermediate,Spanish,No
315.0,Selenium WebDriver + Java. Complete step by step course.,Beginner,Spanish,Yes
316.0,Microfrontends with React: A Complete Developer's Guide,Intermediate,French,Yes
317.0,Ultimate Rust Crash Course,Intermediate,Spanish,Yes
318.0,Complete guide to building an app with .Net Core and React,Expert,Spanish,No
319.0,Nuxt.js 2 - Vue.js on Steroids,Intermediate,French,No
320.0,Data Integration Fundamentals,Beginner,Spanish,No
321.0,20 Web Projects With Vanilla JavaScript,Intermediate,Spanish,Yes
322.0,Bayesian Machine Learning in Python: A/B Testing,All Levels,Spanish,No
323.0,The Bootstrap 4 Bootcamp,Beginner,English,Yes
324.0,Understanding APIs and RESTful APIs Crash Course,Beginner,English,Yes
325.0,UML and Object-Oriented Design Foundations,Beginner,English,Yes
326.0,Unreal Engine 4 Mastery: Create Multiplayer Games with C++,All Levels,French,No
327.0,Artificial Intelligence & Machine Learning for Business,Expert,Chinese,No
328.0,Angular Front To Back,Expert,Spanish,No
329.0,Deep Learning and Computer Vision A-Z + AI & ChatGPT Bonuses,Expert,Spanish,No
330.0,Probability and Statistics for Business and Data Science,Expert,French,No
331.0,Core Java for Automation Testers- Coding made Easy,Expert,Spanish,No
332.0,React Testing Library with Jest / Vitest,Intermediate,English,Yes
333.0,Web Developer Bootcamp with Flask and Python in 2023,Intermediate,Chinese,Yes
334.0,Zero to Hero in Lightning Web Components,Beginner,German,No
335.0,Selenium WebDriver Java: Basics - Advance - Architect 2023,Expert,Spanish,No
336.0,Complete Step By Step Java For Testers,Intermediate,English,No
337.0,Accelerated JavaScript Training,Expert,German,Yes
338.0,Deep Learning: Advanced Natural Language Processing and RNNs,All Levels,Chinese,No
339.0,Java Spring Tutorial Masterclass - Learn Spring Framework 5,All Levels,German,Yes
340.0,Absolute Introduction to Object Oriented Programming in Java,Beginner,English,No
341.0,100 Days Of Code - 2023 Web Development Bootcamp,Expert,German,Yes
342.0,Build+Deploy+Test with Jenkins 2.0,Expert,French,Yes
343.0,Deep Learning Prerequisites: Linear Regression in Python,Expert,German,No
344.0,Master Java Unit Testing with Spring Boot & Mockito,Expert,Spanish,Yes
345.0,Selenium WebDriver 4 With Python - Novice To Ninja,Expert,Spanish,Yes
346.0,Complete Modern C++ (C++11/14/17),Expert,French,Yes
347.0,Jira Essentials | A complete Jira guide for beginners,Beginner,English,Yes
348.0,The Ultimate 2023 Fullstack Web Development Bootcamp,All Levels,Spanish,No
349.0,SwiftUI + SwiftData Masterclass - iOS App Development Swift,All Levels,Chinese,Yes
350.0,Basics in Cloud Computing with SAP Cloud Platform,Beginner,Spanish,Yes
351.0,Intro to Data Science: QuickStart Guide + AI & ChatGPT Bonus,Beginner,Spanish,Yes
352.0,Become a Good Matlab Programmer in 30 days,All Levels,English,No
353.0,NgRx (with NgRx Data) - The Complete Guide (Angular 17),Expert,German,No
354.0,Design Patterns in Modern C++,Intermediate,Spanish,Yes
355.0,Android App Development Masterclass using Kotlin,Beginner,French,No
356.0,RESTful Web API - The Complete Guide (.NET7  API) Part 1,Intermediate,German,No
357.0,Python Django - The Practical Guide,Beginner,Chinese,No
358.0,"Understanding Confluence for users, managers and admins",All Levels,English,No
359.0,The Linux Command Line Bootcamp: Beginner To Power User,Intermediate,Chinese,No
360.0,MATLAB/SIMULINK Bible | Go From Zero to Hero + ChatGPT!,All Levels,German,No
361.0,React JS Web Development - The Essentials Bootcamp,Intermediate,German,No
362.0,GIT and Visual Studio with Azure DevOps Repos for Developers,Beginner,German,Yes
363.0,React Front To Back,Beginner,Chinese,Yes
364.0,Learn to Code with Ruby,Beginner,German,Yes
365.0,JavaScript Beginner Bootcamp (2023),Beginner,Chinese,No
366.0,NestJS: The Complete Developer's Guide,Intermediate,German,Yes
367.0,iOS 9 and Swift 2: From Beginner to Paid Professional™,Expert,French,No
368.0,Software Testing,All Levels,German,No
369.0,Python Django Dev To Deployment,Intermediate,Chinese,Yes
370.0,Advanced SQL : The Ultimate Guide,Expert,Spanish,Yes
371.0,Django 2.2 & Python | The Ultimate Web Development Bootcamp,Beginner,German,Yes
372.0,Complete 2022 Data Science & Machine Learning Bootcamp,Intermediate,Spanish,Yes
373.0,"Deep Learning: Advanced Computer Vision (GANs, SSD, +More!)",Intermediate,French,No
374.0,Angular Core Deep Dive - Beginner to Advanced (Angular 16),All Levels,English,Yes
375.0,SQL Server Administration Part1,Beginner,French,Yes
376.0,HTML5 - From Basics to Advanced level,Beginner,German,No
377.0,Practical Data Structures & Algorithms in Java + HW,All Levels,Spanish,No
378.0,DevOps MasterClass 2023: Terraform Kubernetes Ansible & More,All Levels,Spanish,No
