title,link,institution,subject,level,prerequisites,language,videotranscript,associatedprograms,associatedskills
Marketing Management,https://www.edx.org/learn/marketing-management/indian-institute-of-management-bangalore-marketing-management,Indian Institute of Management B…,Business & Management,Intermediate,None,English,None,MicroMasters®Program inEntrepreneurshipMicroMasters®Program inBusiness ManagementMicroMasters®Program inProduct Marketing Strategy,"Customer Service, Marketing Mix, Customer Satisfaction, Marketing Management, Marketing, Management Consulting"
The Foundations ofHappiness at Work,https://www.edx.org/learn/happiness/university-of-california-berkeley-the-foundations-of-happiness-at-work,"University of California, Berkeley",Business & Management,Introductory,Recommended but not required:GG101x: The Science of Happiness,English,English,Professional Certificate inThe Science of Happiness at Work,Innovation
Introduction to WebAccessibility,https://www.edx.org/learn/web-accessibility/the-world-wide-web-consortium-w3c-introduction-to-web-accessibility,The World Wide Web Consortium…,Computer Science,Introductory,None,English,English,None,"User Experience, Web Accessibility Initiative, Rich Internet Application, Information Technology, International Standards, Web Content Accessibility Guidelines, Cooperation, Assistive Technology, Web Accessibility"
Coaching Skills forLearner-CentredConversations,https://www.edx.org/learn/coaching/imperial-college-london-coaching-skills-for-learner-centred-conversations,Imperial College London,Education & Teacher Training,Introductory,None,English,English,None,Life Coaching
Creating InnovativeBusiness Models,https://www.edx.org/learn/business-model/university-system-of-maryland-creating-innovative-business-models,"University System of MarylandThe University of Maryland, Colle…",Business & Management,Introductory,None,English,English,Professional Certificate inInnovation and Entrepreneurship,"Financial Strategy, Value Propositions, Innovation, Financial Modeling, Marketing Strategies"
Greatest UnsolvedMysteries of the Universe,https://www.edx.org/learn/astrophysics/australian-national-university-greatest-unsolved-mysteries-of-the-universe,Australian National University,Physics,Intermediate,None,English,English,XSeriesinAstrophysics,Astrophysics
Interdisciplinary Teachingwith Museum Objects,https://www.edx.org/learn/teaching-strategies/the-smithsonian-institution-interdisciplinary-teaching-with-museum-objects,The Smithsonian Institution,Education & Teacher Training,Introductory,None,English,English,Professional CertificateinThe Smithsonian Summer Sessions: Teaching with Museum Objects,"African-American History, Interdisciplinary Teaching"
InterculturalCommunication at Work –Land the job and do it well,https://www.edx.org/learn/business-communications/the-national-university-of-singapore-intercultural-communication-at-work-land-the-job-and-do-it-well,The National University of Singap…,Communication,Intermediate,There are no prerequisites for this course.,English,English,None,"Writing, Presentations, Intercultural Communication, Emotional Intelligence, Personal Branding, Teamwork, Conflict Management, Negotiation, Cultural Sensitivity, Relationship Building, Management, Resilience"
Data Science and AgileSystems for ProductManagement,https://www.edx.org/learn/product-management/the-university-of-maryland-college-park-data-science-and-agile-systems-for-product-management,"The University of Maryland, CollegePark…",Business & Management,Intermediate,None,English,None,Professional CertificateinProduct Management,"Modularity, Data Collection, Operations, Fault Tolerance, Product Management, DevOps, Influencing Skills, Automation, Data Management, Agile Methodology, Data Science, Design And Technology, Self Service Technologies"
Climate Change: FinancialRisks and Opportunities,https://www.edx.org/learn/climate-change/imperial-college-business-school-climate-change-financial-risks-and-opportunities,Imperial College Business SchoolImperial College London,Economics & Finance,Intermediate,None,English,English,None,"Finance, Financial Market, Risk Management, Capital Markets, Financial Services, Investments"
Strategies for OnlineTeaching and Learning,https://www.edx.org/learn/education/university-of-british-columbia-strategies-for-online-teaching-and-learning,University of British Columbia,Education & Teacher Training,Introductory,None,English,English,Professional Certificate inOnline Teaching for Educators: Development and Delivery,"Teaching, Pedagogy, Online Course Development, Online Teaching"
Exercising Leadership:Foundational Principles,https://www.edx.org/learn/leadership/harvard-university-exercising-leadership-foundational-principles,Harvard University,Business & Management,Introductory,None,English,None,Professional CertificateinLeadership and CommunicationProfessional CertificateinLeading in a Remote EnvironmentProfessional CertificateinHappiness in Leadership: Driving Team Success,Leadership
Storytelling in theWorkplace,https://www.edx.org/learn/storytelling/rochester-institute-of-technology-storytelling-in-the-workplace,Rochester Institute of Technology,Communication,Introductory,None,English,English,Professional CertificateinCommunication Skills,"Target Audience, Writing, Communications"
CS50's Introduction toArtificial Intelligence withPython,https://www.edx.org/learn/artificial-intelligence/harvard-university-cs50-s-introduction-to-artificial-intelligence-with-python,Harvard University,Computer Science,Introductory,CS50 or prior programming experience in Python.,English,English,Professional CertificateinComputer Science for Artificial Intelligence,"Artificial Intelligence, Reinforcement Learning, Mathematical Optimization, Proofreading, Algorithms, Python (Programming Language), Intelligent Systems, Search Algorithms, Handwriting Recognition, Medical Diagnosis, Machine Translation, Computer Science, Machine Learning"
Google Cloud ComputingFoundations: CloudComputing Fundamentals,https://www.edx.org/learn/cloud-computing/google-cloud-google-cloud-computing-foundations-cloud-computing-fundamentals,Google Cloud,Computer Science,Introductory,None,English,English,Professional CertificateinGoogle Cloud Computing Foundations,"Google Cloud, Cloud Computing"
CS50's Web Programmingwith Python andJavaScript,https://www.edx.org/learn/web-development/harvard-university-cs50-s-web-programming-with-python-and-javascript,Harvard University,Computer Science,Intermediate,CS50or prior programming experience in any language.,English,English,Professional CertificateinComputer Science for Web Programming,"Computer Science, Scalability, JavaScript (Programming Language), Application Programming Interface (API), Application Deployment, Django (Web Framework), Database Design, Cloud Services, SQL (Programming Language), React.js, Python (Programming Language), Cloud Computing, Web Development, Github"
CS50's Introduction toCybersecurity,https://www.edx.org/learn/cybersecurity/harvard-university-cs50-s-introduction-to-cybersecurity,Harvard University,Computer Science,Introductory,None,English,English,None,"Usability, Cyber Security"
Python Basics for DataScience,https://www.edx.org/learn/python/ibm-python-basics-for-data-science,IBM,Data Analysis & Statistics,Introductory,Basic Math,English,English,MicroBachelors PrograminFull Stack Application DevelopmentProfessional CertificateinData Engineering FundamentalsProfessional CertificateinApplied AIProfessional CertificateinPython Data ScienceProfessional CertificateinIBM Data ScienceProfessional CertificateinData AnalystProfessional CertificateinData EngineeringProfessional CertificateinDevOps and Software EngineeringProfessional CertificateinFull Stack Developer,"Python (Programming Language), Data Analysis, Data Visualization, Data Science, Machine Learning, Jupyter, Watson Studio"
Data Science: MachineLearning,https://www.edx.org/learn/machine-learning/harvard-university-data-science-machine-learning,Harvard University,Data Analysis & Statistics,Introductory,This course is part of ourProfessional Certificate Program in Data Scienceand we recommend the preceding courses in the series as prerequisites.,English,English,Professional CertificateinData  Science,"Speech Recognition, Principal Component Analysis, Machine Learning Algorithms, Algorithms, Forecasting, Machine Learning, Recommender Systems, Data Science"
IELTS Academic TestPreparation,https://www.edx.org/learn/test-prep/the-university-of-queensland-ielts-academic-test-preparation,The University of Queensland,Communication,Introductory,None. This course is suitable for anyone preparing to take the Academic IELTS test.,English,English,None,"Writing, English Language"
Rhetoric: The Art ofPersuasive Writing andPublic Speaking,https://www.edx.org/learn/rhetoric/harvard-university-rhetoric-the-art-of-persuasive-writing-and-public-speaking,Harvard University,Humanities,Introductory,None,English,English,Professional CertificateinLeadership and Communication,"Persuasive Writing, Rhetoric, Public Speaking, Persuasive Communication, Economics, Communications, Writing"
Managing Happiness,https://www.edx.org/learn/happiness/harvard-university-managing-happiness,Harvard University,Social Sciences,Introductory,None,English,English,Professional CertificateinHappiness in Leadership: Driving Team Success,"Social Sciences, Research, Lifelong Learning, Psychology"
CS50's Introduction toGame Development,https://www.edx.org/learn/game-development/harvard-university-cs50-s-introduction-to-game-development,Harvard University,Computer Science,Intermediate,CS50or prior programming experience in any language.,English,English,Professional CertificateinComputer Science for Game Development,Video Game Development
TOEFL® Test Preparation:The Insider’s Guide,https://www.edx.org/learn/test-prep/educational-testing-service-toefl-r-test-preparation-the-insiders-guide,Educational Testing Service,Communication,Introductory,None,English,English,None,"Artificial Intelligence, English Language, Test Of English As A Foreign Language (TOEFL), Planning"
CS50's Introduction toProgramming with Scratch,https://www.edx.org/learn/scratch-programming/harvard-university-cs50-s-introduction-to-programming-with-scratch,Harvard University,Computer Science,Introductory,None,English,English,None,"Visual Programming Language (VPL), Computer Science, Java (Programming Language), Typing, Python (Programming Language), Animations"
Data Science: R Basics,https://www.edx.org/learn/r-programming/harvard-university-data-science-r-basics,Harvard University,Data Analysis & Statistics,Introductory,An up-to-date browser is recommended to enable programming directly in a browser-based interface.,English,English,Professional CertificateinData  Science,"Probability, Ggplot2, Version Control, Dplyr, Unix, Sorting, R (Programming Language), Linux, Document Preparations, Git (Version Control System), Github, RStudio, Data Visualization, Machine Learning, Data Wrangling, Data Analysis, File Organization, Data Science"
Entrepreneurship inEmerging Economies,https://www.edx.org/learn/entrepreneurship/harvard-university-entrepreneurship-in-emerging-economies,Harvard University,Business & Management,Introductory,None,English,English,None,"Property Rights, Infrastructure, Value Systems, Management, Operations, Social Issue, Financial Technology (FinTech), Innovation, Branding, LESS"
Introduction to DataScience with Python,https://www.edx.org/learn/data-science/harvard-university-introduction-to-data-science-with-python,Harvard University,Data Analysis & Statistics,Intermediate,"Learners must have a minimum baseline of programming knowledge (preferably in Python) and statistics in order to be successful in this course. Python prerequisites can be met with an introductory Python course offered throughCS50’s Introduction to Programming with Python, and statistics prerequisites can be met viaFat Chanceor withStat110offered through HarvardX.",English,None,Professional CertificateinLearning Python for Data Science,"Artificial Intelligence, NumPy, Data Science, R (Programming Language), Algorithms, Python (Programming Language), Matplotlib, Pandas (Python Package), Parsing, Scikit-learn (Machine Learning Library), Machine Learning, Scientific Methods"
Inglés para todos: nivelbásico,https://www.edx.org/learn/language/universidad-del-rosario-ingles-para-todos-nivel-basico,Universidad del Rosario,Language,Introductory,None,Español,English,None,"Presentations, English Language, Non-Verbal Communication"
Excel for Beginners,https://www.edx.org/learn/excel/davidson-college-excel-for-beginners,Davidson College,Data Analysis & Statistics,Introductory,This course is meant to teach the fundamentals of Excel to beginning learners with little to no prior experience.,English,None,Professional CertificateinData Analysis Basics with Excel and R,"Data Entry, Vlookups, Basic Math, Anatomy, Excel Macros, Spreadsheets, Keyboard Shortcuts, Microsoft Excel, Pivot Tables And Charts, Google Sheets, Conditional Formatting"
CS50's UnderstandingTechnology,https://www.edx.org/learn/computer-science/harvard-university-cs50-s-understanding-technology,Harvard University,Computer Science,Introductory,None,English,English,XSeriesinCS50's AP® Computer Science Principles,"Troubleshooting (Problem Solving), Computer Science"
CS50's Computer Sciencefor Business Professionals,https://www.edx.org/learn/computer-science/harvard-university-cs50-s-computer-science-for-business-professionals,Harvard University,Computer Science,Introductory,None,English,English,None,"Computational Thinking, Cloud Computing, Web Development, Computer Science, Internet Protocols Suite"
"Fundamentals ofNeuroscience, Part 1: TheElectrical Properties of th…",https://www.edx.org/learn/neuroscience/harvard-university-fundamentals-of-neuroscience-part-1-the-electrical-properties-of-the-neuron,Harvard University,Biology & Life Sciences,Introductory,"Some familiarity witharithmetic, basic algebra, and working with equations.",English,English,XSeriesinFundamentals of Neuroscience,None
Introduction to Kubernetes,https://www.edx.org/learn/kubernetes/the-linux-foundation-introduction-to-kubernetes,The Linux Foundation,Computer Science,Introductory,"Basic knowledge of Linux Command Line Interface (CLI)Basic knowledge of container technology like Docker, Rkt is required",English,English,Professional CertificateinIntroduction to Kubernetes and Cloud Native Technologies,"Multitier Architecture, Infrastructure, Cloud-Native Computing, Kubernetes"
Basic Spanish 1: GettingStarted,https://www.edx.org/learn/language/universitat-politecnica-de-valencia-basic-spanish-1-getting-started,Universitat Politècnica de València,Communication,Introductory,None,English,None,Professional Certificate inBasic Spanish,"Spanish Language, Writing, Listening Skills, Spanish Culture, English Language, Language Education, Grammar, Reading Comprehension"
Contract Law: From Trustto Promise to Contract,https://www.edx.org/learn/business-law/harvard-university-contract-law-from-trust-to-promise-to-contract,Harvard University,Business & Management,Intermediate,None.,English,English,None,Contract Law
CS50's Introduction toDatabases with SQL,https://www.edx.org/learn/sql/harvard-university-cs50-s-introduction-to-databases-with-sql,Harvard University,Computer Science,Introductory,None,English,English,None,"Scalability, SQLite, Java (Programming Language), Data Store, SQL (Programming Language), PostgreSQL, Python (Programming Language), Foreign Keys, Relational Databases, MySQL"
English Grammar and Style,https://www.edx.org/learn/grammar/the-university-of-queensland-english-grammar-and-style,The University of Queensland,Humanities,Introductory,None,English,English,None,"Punctuation And Capitalization, Writing, Grammar"
AI for Everyone: Masterthe Basics,https://www.edx.org/learn/artificial-intelligence/ibm-ai-for-everyone-master-the-basics,IBM,Computer Science,Introductory,None,English,English,Professional Certificate inFoundations of AIProfessional Certificate inEssential Technologies for BusinessProfessional Certificate inApplied AI,"Artificial Intelligence, Artificial Neural Networks, Machine Learning, Computer Science, Deep Learning"
Computer Science 101,https://www.edx.org/learn/computer-science/stanford-university-computer-science-101,Stanford University,Computer Science,Introductory,Zero computer experience is assumed beyond a basic ability to use a web browser.,English,English,None,"Computer Science, Experimentation, Web Browsers"
Introduction to Linux,https://www.edx.org/learn/linux/the-linux-foundation-introduction-to-linux,The Linux Foundation,Computer Science,Introductory,"None. However, the course does assume familiarity with computers and common software, such as would be had from daily computer use.",English,English,Professional CertificateinIntroduction to Kubernetes and Cloud Native Technologies,"Linux Distribution, Mainframe Computing, Supercomputing, Command-Line Interface, Graphical User Interface, Android (Operating System), Linux"
Becoming an Entrepreneur,https://www.edx.org/learn/entrepreneurship/massachusetts-institute-of-technology-becoming-an-entrepreneur,Massachusetts Institute of Techn…,Business & Management,Introductory,None,English,English,None,"Entrepreneurship, Lean Methodologies, Design Thinking, Market Research"
Justice,https://www.edx.org/learn/justice/harvard-university-justice,Harvard University,Humanities,Introductory,None,English,None,None,"Critical Thinking, Political Philosophy, Property Rights"
Google AI for Anyone,https://www.edx.org/learn/artificial-intelligence/google-google-ai-for-anyone,Google,Computer Science,Introductory,None,English,English,Professional Certificate inFundamentals of Google AI for Web Based Machine Learning,"Machine Learning, Recommender Systems, Basic Math, Computer Science, Artificial Neural Networks, Computer Vision, Artificial Intelligence"
Data Science:Visualization,https://www.edx.org/learn/data-visualization/harvard-university-data-science-visualization,Harvard University,Data Analysis & Statistics,Introductory,An up-to-date browser is recommended to enable programming directly in a browser-based interface.,English,English,Professional CertificateinData  Science,"Ggplot2, Health Economics, Exploratory Data Analysis, Data Visualization, Infectious Diseases, Statistical Programming, Data Science"
Databases: RelationalDatabases and SQL,https://www.edx.org/learn/relational-databases/stanford-university-databases-relational-databases-and-sql,Stanford University,Computer Science,Introductory,"There are no specific prerequisites for this course; however, some computer science background is expected for all of the courses in the Databases series.",English,English,None,"Database Design, Computer Science, Relational Databases, Online Analytical Processing, Data Abstraction, Persistence, Reliability, Concurrency Controls, Query Languages, Authorization (Computing), Database Systems, SQL (Programming Language), Scalability"
Italian Language andCulture: Beginner(2023-2024),https://www.edx.org/learn/italian/wellesley-college-italian-language-and-culture-beginner-2023-2024,Wellesley College,Language,Introductory,None,Italiano,Italiano,Professional Certificate inItalian Language and Culture: Beginner to Advanced,"Reading Comprehension, Mobile Devices, Pronunciation, Grammar, Language Education, Vocabulary, Writing, Italian Language, Podcasting"
"Introduction to WebDevelopment with HTML5,CSS3, and JavaScript",https://www.edx.org/learn/web-development/ibm-introduction-to-web-development-with-html5-css3-and-javascript,IBM,Computer Science,Introductory,Basic computer literacy.Understanding of Cloud Computing concepts and terminology.No prior knowledge of Computer Programming.,English,English,MicroBachelors PrograminFull Stack Application DevelopmentProfessional CertificateinCloud and Application Development FoundationsProfessional CertificateinFull Stack Developer,"Full Stack Development, Cloud Development, Github, Application Development, Cascading Style Sheets (CSS), Front End (Software Engineering), HTML5, Back End (Software Engineering), Bootstrap (Front-End Framework), Project Files, Gitlab, Web Development, JavaScript (Programming Language), Version Control, Git (Version Control System)"
Building PersonalResilience: ManagingAnxiety and Mental Health,https://www.edx.org/learn/mental-health/harvard-university-building-personal-resilience-managing-anxiety-and-mental-health,Harvard University,Social Sciences,Introductory,None,English,English,Professional CertificateinHappiness in Leadership: Driving Team Success,None
Human Anatomy:Musculoskeletal Cases,https://www.edx.org/learn/human-anatomy/harvard-university-human-anatomy-musculoskeletal-cases,Harvard University,Medicine,Intermediate,None.,English,English,None,"Orthopedics, Operating Room (OR), Musculoskeletal Injuries, Histology, Differential Diagnosis, Dissection, Anatomy, Dentistry, Primary Care, Clinical Practices, Orthopedic Surgery, Radiology, Human Musculoskeletal Systems"
The ArchitecturalImagination,https://www.edx.org/learn/architecture/harvard-university-the-architectural-imagination,Harvard University,Architecture,Introductory,None,English,English,None,"Value Systems, Perspective (Graphical), Imagination, Innovation"
Introduction to ChatGPT,https://www.edx.org/learn/chatgpt/edx-introduction-to-chatgpt,edX,Computer Science,Introductory,No prior knowledge of ChatGPT is needed.,English,None,None,"Content Creation, User Interface, Language Translation, Chatbot, Blog Posts, Ideation, Social Media, Language Model, Application Programming Interface (API), Communications, Artificial Intelligence, Writing"
Data Analytics Basics forEveryone,https://www.edx.org/learn/data-analysis/ibm-data-analytics-basics-for-everyone,IBM,Data Analysis & Statistics,Introductory,None,English,None,Professional Certificate inData Analysis and Visualization FundamentalsProfessional Certificate inData AnalystProfessional Certificate inData Analytics and Visualization with Excel and R,"Big Data, Extract Transform Load (ETL), Data Structures, Data Warehousing, Data Lakes, Data Analysis, Relational Databases"
Introduction to ProjectManagement,https://www.edx.org/learn/project-management/university-of-adelaide-introduction-to-project-management,University of Adelaide,Business & Management,Introductory,None,English,English,Professional CertificateinFundamentals of Project Management,"People Management, Management, Leadership"
Prompt Engineering andAdvanced ChatGPT,https://www.edx.org/learn/computer-programming/edx-advanced-chatgpt,edX,Computer Science,Intermediate,None,English,None,None,None
Leaders of Learning,https://www.edx.org/learn/leadership/harvard-university-leaders-of-learning,Harvard University,Communication,Introductory,None,English,None,None,"Leadership, Organizational Structure"
Programming forEverybody (GettingStarted with Python),https://www.edx.org/learn/python/the-university-of-michigan-programming-for-everybody-getting-started-with-python,The University of Michigan,Computer Science,Introductory,None,English,English,None,"Web Browsers, Python (Programming Language)"
Cybersecurity Basics,https://www.edx.org/learn/cybersecurity/ibm-cybersecurity-basics,IBM,Computer Science,Introductory,None,English,None,Professional CertificateinIBM Cybersecurity FundamentalsProfessional CertificateinCybersecurity Analyst,"Cyber Security, Cyber Threat Intelligence, Critical Thinking"
Foundations of Finance,https://www.edx.org/learn/finance/university-of-cambridge-foundations-of-finance,University of Cambridge,Economics & Finance,Introductory,None,English,English,None,"Finance, Corporate Finance, Financial Management, Problem Solving"
Digital Marketing Strategy,https://www.edx.org/learn/digital-marketing/the-university-of-edinburgh-digital-marketing-strategy,The University of Edinburgh,Business & Management,Intermediate,None,English,English,Professional Certificate inDigital Marketing Fundamentals,"Marketing, Strategic Planning, Digital Marketing"
Principles of Biochemistry,https://www.edx.org/learn/biochemistry/harvard-university-principles-of-biochemistry,Harvard University,Medicine,Intermediate,"College-level Introductory BiologyCollege-level Introductory General Chemistry, including basic Organic Chemistry",English,English,None,"Analytical Skills, Livers, Biochemistry, Enzyme Kinetics, Cell Biology, Metabolism, Chemical Kinetics, Macromolecule, Hepatology, Problem Solving, Metabolic Pathways, Interconnection, Protein Function"
Data Structures &Algorithms Using  C++,https://www.edx.org/learn/data-structures/ibm-data-structures-algorithms-using-c,IBM,Computer Science,Intermediate,None,English,English,Professional CertificateinC++ Programming Essentials,"Data Structures, Sorting, Algorithms, Divide And Conquer, C++ (Programming Language), Dynamic Programming"
Analyzing and VisualizingData with Power BI,https://www.edx.org/learn/power-bi/davidson-college-analyzing-and-visualizing-data-with-power-bi,Davidson College,Data Analysis & Statistics,Introductory,None,English,English,Professional Certificate inFundamentals of Data Visualization with Power BIProfessional Certificate inFrom Database to Dashboard using SQL and Power BI,"Power BI, Business Analytics, Report Writing, Microsoft 365, Data Analysis, Infographics, Virtual Machines, Data Visualization"
Calculus Applied!,https://www.edx.org/learn/calculus/harvard-university-calculus-applied,Harvard University,Math,Intermediate,"Single-variable Calculus (derivatives, integrals and basics of differential equations); College or AP/IB High School Level",English,English,None,"Calculus, Differential Equations, Mathematical Modeling, Biology, X-Ray Computed Tomography, Derivatives, Physical Science, Data Modeling"
Inglés básico:conversacional ynetworking,https://www.edx.org/learn/english/universidades-anahuac-ingles-basico-conversacional-y-networking,Universidades Anáhuac,Business & Management,Introductory,None,Español,None,Professional Certificate inInglés básico para negocios,"Communications, Language Barrier"
A Hands-on Introductionto Engineering Simulations,https://www.edx.org/learn/engineering/cornell-university-a-hands-on-introduction-to-engineering-simulations,Cornell University,Engineering,Intermediate,High school physics including Newton's second lawDifferential and integral calculusBasic matrix algebra,English,English,None,"Industry Practices, Finite Element Methods, Simulations, Computational Fluid Dynamics, Ansys Simulation Software, Fluid Dynamics, Physics, Structural Mechanics"
Introduction to DataScience,https://www.edx.org/learn/data-science/ibm-introduction-to-data-science,IBM,Data Analysis & Statistics,Introductory,None,English,English,Professional CertificateinData Science FoundationsProfessional CertificateinEssential Technologies for BusinessProfessional CertificateinIBM Data Science,"Forecasting, Data Science, Tax Collections, Big Data"
Accounting and Finance,https://www.edx.org/learn/financial-accounting/indian-institute-of-management-bangalore-accounting-and-finance,Indian Institute of Management B…,Business & Management,Intermediate,Graduate level courseAn overall understanding of business environment is required,English,None,MicroMasters®PrograminEntrepreneurship,"Financial Statements, Financial Market, Tax Management, Business Acumen, Finance, Asset Management, Management, Cost Management, Accounting, Business Planning, Financial Acumen"
The Path to Happiness:What Chinese PhilosophyTeaches us about the Go…,https://www.edx.org/learn/happiness/harvard-university-the-path-to-happiness-what-chinese-philosophy-teaches-us-about-the-good-life,Harvard University,Philosophy & Ethics,Introductory,None,English,English,None,"Political Philosophy, Language Translation, Animations"
Excel: Fundamentos yherramientas,https://www.edx.org/learn/excel/universitat-politecnica-de-valencia-excel-fundamentos-y-herramientas,Universitat Politècnica de València,Computer Science,Introductory,Para este curso solo hacen falta conocimientos aritméticos básicos.,Español,Español,Professional CertificateinExcel para los negociosProfessional CertificateinFundamentos de Microsoft Office para la empresaProfessional CertificateinExcel para los negocios nivel intermedio,"Microsoft Excel, Operations, Presentations, Microsoft Office"
Early ChildhoodDevelopment: GlobalStrategies for Implement…,https://www.edx.org/learn/child-development/harvard-university-early-childhood-development-global-strategies-for-implementation,Harvard University,Education & Teacher Training,Introductory,None,English,English,None,"Health Research, Developmental Psychology, Investments, Child Protection, Public Health, Advocacy, Policy Development, Child Development, Head Start (Education Program), Social Development, Scalability"
Data Science: Probability,https://www.edx.org/learn/probability/harvard-university-data-science-probability,Harvard University,Data Analysis & Statistics,Introductory,None,English,English,Professional CertificateinData  Science,"Probability, Statistical Hypothesis Testing, Securities (Finance), Monte Carlo Methods, Probability Theories, Statistical Inference, Financial Crisis, Data Analysis, Random Variables, Data Science"
Statistical Learning,https://www.edx.org/learn/statistics/stanford-university-statistical-learning,Stanford University,Data Analysis & Statistics,Introductory,"First courses in statistics, linear algebra, and computing.",English,English,None,"Random Forest Algorithm, Lasso (Programming Language), Support Vector Machine, Principal Component Analysis, Data Analysis, Bootstrap (Front-End Framework), Artificial Neural Networks, Linear Discriminant Analysis, Logistic Regression, Boosting, Data Science, R (Programming Language), Statistical Modeling, Supervised Learning, Polynomial Regression, K-Means Clustering, Lecturing, Statistical Learning Theory, Unsupervised Learning, Deep Learning"
"PredictionX: Omens,Oracles & Prophecies",https://www.edx.org/learn/social-science/harvard-university-predictionx-omens-oracles-prophecies,Harvard University,Social Sciences,Introductory,None,English,English,XSeries inPredictionX,"Futures Exchange, Computer Simulation, Forecasting"
Intro to Stock Trading,https://www.edx.org/learn/stocks/new-york-institute-of-finance-intro-to-stock-trading,New York Institute of Finance,Economics & Finance,Introductory,None,English,English,Professional Certificate inStock Trading,"Finance, Equities, Stock Markets, Psychology, Money Management"
Circuits and Electronics 1:Basic Circuit Analysis,https://www.edx.org/learn/circuits/massachusetts-institute-of-technology-circuits-and-electronics-1-basic-circuit-analysis,Massachusetts Institute of Techn…,Electronics,Introductory,"High school mathematical background of working with algebraic equations and basic calculus, and a high school physics background including the basics of electricity and magnetism.",English,None,XSeriesinCircuits and Electronics,"Combinational Logic, Electrical Circuit Analysis, Network Switches, Electrical Engineering, Computer Science, Smartphone Operation, Electronics"
