title,link,duration,instructor,students
Real Productivity: How to Build Habits That Last,https://www.skillshare.com/en/classes/Real-Productivity-How-to-Build-Habits-That-Last/1744818959,1h 2m,Thomas Frank,"80,351 students"
Customizing Type with Draplin: Creating Wordmarks That Work,https://www.skillshare.com/en/classes/Customizing-Type-with-Draplin-Creating-Wordmarks-That-Work/1395825904,1h 32m,Aaron Draplin,"44,738 students"
Intro to Surface Pattern Design: Learn Adobe Illustrator,https://www.skillshare.com/en/classes/Intro-to-Surface-Pattern-Design-Learn-Adobe-Illustrator/1614197409,3h 43m,Bonnie Christine,"39,030 students"
Learn Adobe After Effects CC for Beginners,https://www.skillshare.com/en/classes/Learn-Adobe-After-Effects-CC-for-Beginners/53825608,3h 4m,Jordy Vandeput,"44,331 students"
"YouTube Success: Script, Shoot & Edit with MKBHD",https://www.skillshare.com/en/classes/YouTube-Success-Script-Shoot-Edit-with-MKBHD/731552530,1h 13m,Marques Brownlee,"82,905 students"
Social Media Marketing: Top Tips for Growing Your Followers & Going Viral,https://www.skillshare.com/en/classes/Social-Media-Marketing-Top-Tips-for-Growing-Your-Followers-Going-Viral/2147147253,1h 6m,Cat Coquillette,"101,856 students"
Find Your Style: Five Exercises to Unlock Your Creative Identity,https://www.skillshare.com/en/classes/Find-Your-Style-Five-Exercises-to-Unlock-Your-Creative-Identity/1945270638,1h 12m,Andy J. Pizza,"65,463 students"
YouTube for Beginners - How to Start & Grow Your YouTube Channel,https://www.skillshare.com/en/classes/YouTube-for-Beginners-How-to-Start-Grow-Your-YouTube-Channel/1956780612,4h 9m,Ali Abdaal,"39,930 students"
Interior Design Basics: Simple Steps to Your Perfect Space,https://www.skillshare.com/en/classes/Interior-Design-Basics-Simple-Steps-to-Your-Perfect-Space/241319736,1h 27m,Lauren Cox,"80,639 students"
Adobe InDesign CC - Essentials Training Course,https://www.skillshare.com/en/classes/Adobe-InDesign-CC-Essentials-Training-Course/1170360090,6h 46m,Daniel Scott,"39,645 students"
Style Your Space: Creative Tips and Techniques for Interior Design,https://www.skillshare.com/en/classes/Style-Your-Space-Creative-Tips-and-Techniques-for-Interior-Design/361571274,1h 0m,Emily Henderson,"48,716 students"
Basic Skills / Getting Started with Drawing,https://www.skillshare.com/en/classes/Basic-Skills-Getting-Started-with-Drawing/637385311,4h 21m,Brent Eviston,"113,577 students"
Introduction to SEO: Tactics and Strategy for Entrepreneurs,https://www.skillshare.com/en/classes/Introduction-to-SEO-Tactics-and-Strategy-for-Entrepreneurs/681600915,1h 30m,Rand Fishkin,"79,975 students"
Modern Watercolor Techniques: Beginner's Level,https://www.skillshare.com/en/classes/Modern-Watercolor-Techniques-Beginners-Level/576876085,2h 20m,Ana Victoria Calderón,"43,113 students"
Productivity Habits That Stick: Using Time Theming,https://www.skillshare.com/en/classes/Productivity-Habits-That-Stick-Using-Time-Theming/1216959000,44m,Mike Vardy,"90,188 students"
Video Editing with Final Cut Pro X - From Beginner to YouTuber,https://www.skillshare.com/en/classes/Video-Editing-with-Final-Cut-Pro-X-From-Beginner-to-YouTuber/317873419,3h 16m,Ali Abdaal,"57,873 students"
How to Organise your Workflow to Maximise Productivity,https://www.skillshare.com/en/classes/How-to-Organise-your-Workflow-to-Maximise-Productivity/1036212713,2h 38m,Ali Abdaal,"41,336 students"
The Beginner's Guide to Adobe After Effects,https://www.skillshare.com/en/classes/The-Beginners-Guide-to-Adobe-After-Effects/1758053045,5h 59m,Jake Bartlett,"25,867 students"
Gesture / An Introduction to the Art of Figure Drawing,https://www.skillshare.com/en/classes/Gesture-An-Introduction-to-the-Art-of-Figure-Drawing/151296615,11h 14m,Brent Eviston,"33,626 students"
Learn Anything With Flashcards - The Ultimate Guide To Anki,https://www.skillshare.com/en/classes/Learn-Anything-With-Flashcards-The-Ultimate-Guide-To-Anki/1530220171,5h 18m,Ali Abdaal,"38,320 students"
Typography That Works: Typographic Composition and Fonts,https://www.skillshare.com/en/classes/Typography-That-Works-Typographic-Composition-and-Fonts/1694217981,35m,Ellen Lupton,"96,214 students"
Mastering Illustrator: 10 Tips & Tricks to Speed Up Your Workflow,https://www.skillshare.com/en/classes/Mastering-Illustrator-10-Tips-Tricks-to-Speed-Up-Your-Workflow/1583544555,40m,DKNG Studios,"65,136 students"
Learn to Draw: Daily Practices to Improve Your Drawing Skills,https://www.skillshare.com/en/classes/Learn-to-Draw-Daily-Practices-to-Improve-Your-Drawing-Skills/1948270521,1h 23m,Gabrielle Brickey,"103,747 students"
Freelancing for Beginners,https://www.skillshare.com/en/classes/Freelancing-for-Beginners/1262489332,1h 1m,Jeremy Mura,"3,214 students"
Going Freelance: Building and Branding Your Own Success,https://www.skillshare.com/en/classes/Going-Freelance-Building-and-Branding-Your-Own-Success/1018002097,51m,Justin Gignac,"81,009 students"
Introduction to Designing Repeat Patterns in Illustrator,https://www.skillshare.com/en/classes/Introduction-to-Designing-Repeat-Patterns-in-Illustrator/1356401580,52m,Elizabeth Olwen,"45,108 students"
"Character Illustration: Drawing Faces, Figures & Clothing",https://www.skillshare.com/en/classes/Character-Illustration-Drawing-Faces-Figures-Clothing/1906734506,59m,Gabriel Picolo,"136,968 students"
Notion Masterclass: Maximise Your Productivity & Organisation,https://www.skillshare.com/en/classes/Notion-Masterclass-Maximise-Your-Productivity-Organisation/1533502361,1h 45m,Ali Abdaal,"33,105 students"
Demystifying Graphic Design: How Posters Work,https://www.skillshare.com/en/classes/Demystifying-Graphic-Design-How-Posters-Work/1938197477,1h 4m,Ellen Lupton,"54,118 students"
"Ink Drawing Techniques: Brush, Nib, and Pen Style",https://www.skillshare.com/en/classes/Ink-Drawing-Techniques-Brush-Nib-and-Pen-Style/1970343004,1h 32m,Yuko Shimizu,"50,603 students"
Spanish for Beginners. The complete Method. Level 1.,https://www.skillshare.com/en/classes/Spanish-for-Beginners-The-complete-Method-Level-1/882535195,3h 18m,Peter Hanley,"36,605 students"
User Experience Design Essentials - Adobe XD UI UX Design,https://www.skillshare.com/en/classes/User-Experience-Design-Essentials-Adobe-XD-UI-UX-Design/1581992558,9h 45m,Daniel Scott,"36,726 students"
Becoming an Instagram Influencer: Creating Authentic Content and Monetizing Your Following,https://www.skillshare.com/en/classes/Becoming-an-Instagram-Influencer-Creating-Authentic-Content-and-Monetizing-Your-Following/1056842644,47m,Sean Dalton,"60,105 students"
YouTube Success: Build an Authentic Channel That's Worth the Follow,https://www.skillshare.com/en/classes/YouTube-Success-Build-an-Authentic-Channel-Thats-Worth-the-Follow/480771818,55m,Sorelle Amore,"59,058 students"
Modern Watercolor Techniques: Explore Skills to Create On-Trend Paintings,https://www.skillshare.com/en/classes/Modern-Watercolor-Techniques-Explore-Skills-to-Create-On-Trend-Paintings/1683110453,1h 20m,Cat Coquillette,"60,675 students"
Graphic Design Masterclass: Learn GREAT Design,https://www.skillshare.com/en/classes/Graphic-Design-Masterclass-Learn-GREAT-Design/971251681,19h 43m,Lindsay Marsh,"34,400 students"
Acrylic Painting: Learn the Basics For Beginners,https://www.skillshare.com/en/classes/Acrylic-Painting-Learn-the-Basics-For-Beginners/1186449914,2h 6m,LaurieAnne Gonzalez,"43,722 students"
Adobe Illustrator CC – Advanced Training,https://www.skillshare.com/en/classes/Adobe-Illustrator-CC-%E2%80%93-Advanced-Training/133378273,9h 2m,Daniel Scott,"31,679 students"
Logotype Masterclass with Jessica Hische,https://www.skillshare.com/en/classes/Logotype-Masterclass-with-Jessica-Hische/485120923,1h 32m,Jessica Hische,"34,608 students"
Drawing Seamless Patterns in Procreate + Professional Surface Design Tips,https://www.skillshare.com/en/classes/Drawing-Seamless-Patterns-in-Procreate-Professional-Surface-Design-Tips/1758731626,1h 26m,Cat Coquillette,"20,331 students"
Advanced Video Editing with Adobe Premiere Pro,https://www.skillshare.com/en/classes/Advanced-Video-Editing-with-Adobe-Premiere-Pro/1103032154,3h 36m,Jordy Vandeput,"44,498 students"
The Staples of Branding: From Purpose to Product,https://www.skillshare.com/en/classes/The-Staples-of-Branding-From-Purpose-to-Product/915436837,57m,Jeff Staple,"41,056 students"
Finding Instagram Success: Build an Account People Care About,https://www.skillshare.com/en/classes/Finding-Instagram-Success-Build-an-Account-People-Care-About/1822503573,1h 0m,Later,"41,037 students"
Context is Key: Social Media Strategy in a Noisy Online World,https://www.skillshare.com/en/classes/Context-is-Key-Social-Media-Strategy-in-a-Noisy-Online-World/101309737,1h 31m,Gary Vaynerchuk,"56,295 students"
Circular Logo Design with Draplin: Combine Type & Icons in a Classic Shape,https://www.skillshare.com/en/classes/Circular-Logo-Design-with-Draplin-Combine-Type-Icons-in-a-Classic-Shape/92531535,1h 2m,Aaron Draplin,"39,065 students"
Fun With Faces: Create a Stylised Digital Portrait,https://www.skillshare.com/en/classes/Fun-With-Faces-Create-a-Stylised-Digital-Portrait/891639135,45m,Charly Clements,"41,001 students"
Photography Essentials: Understanding the Basics,https://www.skillshare.com/en/classes/Photography-Essentials-Understanding-the-Basics/803714422,1h 30m,Sean Dalton,"26,208 students"
Building a Career in Illustration: Explore Print-On-Demand | Learn with Society6,https://www.skillshare.com/en/classes/Building-a-Career-in-Illustration-Explore-Print-On-Demand-Learn-with-Society6/2139207703,24m,Cat Coquillette,"64,388 students"
Design a Female Character: Sketching Portraits with Pencils,https://www.skillshare.com/en/classes/Design-a-Female-Character-Sketching-Portraits-with-Pencils/2134946450,59m,Gabrielle Brickey,"40,128 students"
"Discovering Success: 7 Exercises to Uncover Your Purpose, Passion & Path",https://www.skillshare.com/en/classes/Discovering-Success-7-Exercises-to-Uncover-Your-Purpose-Passion-Path/1924221135,1h 0m,Emma Gannon,"48,619 students"
Botanical Line Drawing,https://www.skillshare.com/en/classes/Botanical-Line-Drawing/1406099508,1h 19m,Peggy Dean,"39,386 students"
Form & Space / 3D Drawing & Perspective,https://www.skillshare.com/en/classes/Form-Space-3D-Drawing-Perspective/321249278,2h 45m,Brent Eviston,"22,786 students"
Adobe Photoshop CC – Advanced Training Course,https://www.skillshare.com/en/classes/Adobe-Photoshop-CC-%E2%80%93-Advanced-Training-Course/1918882966,15h 4m,Daniel Scott,"31,455 students"
Copywriting For Beginners: How To Write Web Copy That Sells Without Being Cheesy,https://www.skillshare.com/en/classes/Copywriting-For-Beginners-How-To-Write-Web-Copy-That-Sells-Without-Being-Cheesy/627184083,1h 2m,Jesse Forrest,"41,952 students"
Logo Design with Grids: Timeless Style from Simple Shapes,https://www.skillshare.com/en/classes/Logo-Design-with-Grids-Timeless-Style-from-Simple-Shapes/683637231,31m,George Bokhua,"54,409 students"
Lettering for Designers: One Drop Cap Letterform at a Time,https://www.skillshare.com/en/classes/Lettering-for-Designers-One-Drop-Cap-Letterform-at-a-Time/1412984025,1h 40m,Jessica Hische,"37,650 students"
Figma UI UX Design Essentials,https://www.skillshare.com/en/classes/Figma-UI-UX-Design-Essentials/1088693386,11h 36m,Daniel Scott,"28,226 students"
Productivity Today: Managing Attention in the Digital Age | Learn with Todoist,https://www.skillshare.com/en/classes/Productivity-Today-Managing-Attention-in-the-Digital-Age-Learn-with-Todoist/1016846630,34m,Kevin Siskar,"59,223 students"
Document Your Life: 4 Methods to Live More Intentionally,https://www.skillshare.com/en/classes/Document-Your-Life-4-Methods-to-Live-More-Intentionally/172991537,1h 19m,Nathaniel Drew,"29,784 students"
Real Productivity: Create Your Ideal Week,https://www.skillshare.com/en/classes/Real-Productivity-Create-Your-Ideal-Week/1067827918,22m,Michael Karnjanaprakorn,"54,407 students"
E-Commerce Essentials: How to Start a Successful Online Business,https://www.skillshare.com/en/classes/E-Commerce-Essentials-How-to-Start-a-Successful-Online-Business/121692420,1h 2m,Tracey Wallace,"62,118 students"
Creative Writing: Crafting Personal Essays with Impact,https://www.skillshare.com/en/classes/Creative-Writing-Crafting-Personal-Essays-with-Impact/1709959838,1h 1m,Roxane Gay,"45,177 students"
Hand Lettering Essentials for Beginners,https://www.skillshare.com/en/classes/Hand-Lettering-Essentials-for-Beginners/389616295,1h 57m,Mary Kate McDevitt,"84,561 students"
You Can Draw Anything! In 3 Simple Steps / Learn Drawing for Beginners,https://www.skillshare.com/en/classes/You-Can-Draw-Anything-In-3-Simple-Steps-Learn-Drawing-for-Beginners/1944669273,38m,Yasmina Creates,"48,847 students"
Design Great Stuff: How to Make Merch with Draplin,https://www.skillshare.com/en/classes/Design-Great-Stuff-How-to-Make-Merch-with-Draplin/597293942,1h 42m,Aaron Draplin,"34,560 students"
Make a Living as an Artist: Strategies for Crafting Your Creative Business,https://www.skillshare.com/en/classes/Make-a-Living-as-an-Artist-Strategies-for-Crafting-Your-Creative-Business/2111414146,1h 55m,Brooke Glaser,"36,018 students"
Hand Lettering in Procreate: Fundamentals to Finishing Touches,https://www.skillshare.com/en/classes/Hand-Lettering-in-Procreate-Fundamentals-to-Finishing-Touches/1749196794,1h 39m,Gia Graham,"35,983 students"
"Mastering Illustration: Sketching, Inking & Color Essentials",https://www.skillshare.com/en/classes/Mastering-Illustration-Sketching-Inking-Color-Essentials/1576657189,2h 10m,Josiah (Jazza) Brooks,"53,267 students"
Adobe Premiere Pro CC – Essentials Training Course,https://www.skillshare.com/en/classes/Adobe-Premiere-Pro-CC-%E2%80%93-Essentials-Training-Course/213307785,15h 11m,Daniel Scott,"20,047 students"
"ODD BODIES: Illustrating Expressive, Stylized People",https://www.skillshare.com/en/classes/ODD-BODIES-Illustrating-Expressive-Stylized-People/562332090,2h 24m,Tom Froese,"27,715 students"
Excel for the Real World: Gain the Basic Skills of Microsoft Excel,https://www.skillshare.com/en/classes/Excel-for-the-Real-World-Gain-the-Basic-Skills-of-Microsoft-Excel/599396565,1h 1m,Al Chen,"48,467 students"
How to be Happier - Stoicism Masterclass,https://www.skillshare.com/en/classes/How-to-be-Happier-Stoicism-Masterclass/928999366,1h 27m,Ali Abdaal,"32,718 students"
How to Discover Profitable Design Trends Before Anyone Else – and Create Artwork with Mass Appeal,https://www.skillshare.com/en/classes/How-to-Discover-Profitable-Design-Trends-Before-Anyone-Else-%E2%80%93-and-Create-Artwork-with-Mass-Appeal/1906420066,1h 7m,Cat Coquillette,"20,414 students"
Building an Etsy Shop that Sells: Strategies for E-Commerce Success,https://www.skillshare.com/en/classes/Building-an-Etsy-Shop-that-Sells-Strategies-for-E-Commerce-Success/1429447927,41m,Parker Gard,"48,927 students"
Introduction to Social Media Strategy | Learn with Buffer,https://www.skillshare.com/en/classes/Introduction-to-Social-Media-Strategy-Learn-with-Buffer/1934895986,43m,Brian Peters,"43,197 students"
Animating With Ease in Adobe After Effects,https://www.skillshare.com/en/classes/Animating-With-Ease-in-Adobe-After-Effects/1372682458,2h 48m,Jake Bartlett,"32,584 students"
The Writer's Toolkit: 6 Steps to a Successful Writing Habit,https://www.skillshare.com/en/classes/The-Writers-Toolkit-6-Steps-to-a-Successful-Writing-Habit/1072824603,38m,Simon Van Booy,"38,645 students"
"DSLR Photography II: Understanding Lenses, Focal Length & Shooting",https://www.skillshare.com/en/classes/DSLR-Photography-II-Understanding-Lenses-Focal-Length-Shooting/378823504,1h 6m,Photo Essentials x Justin Bridges,"25,790 students"
"Instagram-Worthy Photography: Shoot, Edit & Share with Brandon Woelfel",https://www.skillshare.com/en/classes/Instagram-Worthy-Photography%C2%A0Shoot-Edit-Share-with-Brandon-Woelfel/1319232842,1h 23m,Brandon Woelfel,"46,661 students"
Storytelling for Leaders: How to Craft Stories That Matter,https://www.skillshare.com/en/classes/Storytelling-for-Leaders-How-to-Craft-Stories-That-Matter/1980968673,21m,Keith Yamashita,"64,850 students"
Baugasm™ Series #1  - Create Experimental Gradients and Posters,https://www.skillshare.com/en/classes/Baugasm%E2%84%A2-Series-1-Create-Experimental-Gradients-and-Posters/13878749,32m,Vasjen Katro,"34,355 students"
Unlocking Your Potential: 5 Exercises to Build Creative Confidence,https://www.skillshare.com/en/classes/Unlocking-Your-Potential-5-Exercises-to-Build-Creative-Confidence/1109027672,42m,Emma Gannon,"34,182 students"
Graphic Illustration: Boldly Design with Color and Shape,https://www.skillshare.com/en/classes/Graphic-Illustration-Boldly-Design-with-Color-and-Shape/1266193104,1h 13m,Olimpia Zagnoli,"24,532 students"
Personal Branding: Crafting Your Social Media Presence,https://www.skillshare.com/en/classes/Personal-Branding-Crafting-Your-Social-Media-Presence/637661219,1h 8m,Kate Arends,"44,288 students"
Watercolor in the Woods: A Beginner's Guide to Painting the Natural World,https://www.skillshare.com/en/classes/Watercolor-in-the-Woods-A-Beginners-Guide-to-Painting-the-Natural-World/361593593,41m,Rosalie Haizlett,"36,058 students"
Illustration & Inspiration: Keeping a Sketchbook,https://www.skillshare.com/en/classes/Illustration-Inspiration-Keeping-a-Sketchbook/1370742359,31m,Leah Goren,"43,932 students"
Simple Productivity: How to Accomplish More With Less,https://www.skillshare.com/en/classes/Simple-Productivity-How-to-Accomplish-More-With-Less/1481076222,44m,Greg McKeown,"30,961 students"
Cinematography Course | Shoot Expert Video on Any Camera,https://www.skillshare.com/en/classes/Cinematography-Course-Shoot-Expert-Video-on-Any-Camera/49499074,1h 14m,Dale McManus,"22,915 students"
Growing Your Creative Business Through Instagram,https://www.skillshare.com/en/classes/Growing-Your-Creative-Business-Through-Instagram/495708486,1h 27m,Cat Coquillette,"21,036 students"
Mastering Color: Simple Steps to Create Vivid Art,https://www.skillshare.com/en/classes/Mastering-Color-Simple-Steps-to-Create-Vivid-Art/1711520438,1h 35m,Victo Ngai,"22,099 students"
"Productivity for Creators: Systems, Organization & Workflow",https://www.skillshare.com/en/classes/Productivity-for-Creators-Systems-Organization-Workflow/1147193977,1h 33m,Ali Abdaal,"33,200 students"
Analytics & Authenticity on Instagram: Crafting Your Digital Presence,https://www.skillshare.com/en/classes/Analytics-Authenticity-on-Instagram-Crafting-Your-Digital-Presence/1356039187,48m,Sophia Chang™,"36,867 students"
Stand Out on YouTube: Build a Successful Channel with Jazza,https://www.skillshare.com/en/classes/Stand-Out-on-YouTube-Build-a-Successful-Channel-with-Jazza/2004067742,2h 7m,Josiah (Jazza) Brooks,"34,051 students"
Draw A Diary Comic,https://www.skillshare.com/en/classes/Draw-A-Diary-Comic/1229064110,10m,Ira Marcks,"4,277 students"
Responsive Web Design Essentials - HTML5 CSS3 Bootstrap,https://www.skillshare.com/en/classes/Responsive-Web-Design-Essentials-HTML5-CSS3-Bootstrap/236553264,16h 46m,Daniel Scott,"14,225 students"
A Step-by-Step Guide to Art Licensing: Sell Your First Piece of Artwork Online,https://www.skillshare.com/en/classes/A-Step-by-Step-Guide-to-Art-Licensing-Sell-Your-First-Piece-of-Artwork-Online/2025000313,50m,Cat Coquillette,"24,616 students"
Illustrating in Procreate: Drawing a Shareable Timelapse,https://www.skillshare.com/en/classes/Illustrating-in-Procreate-Drawing-a-Shareable-Timelapse/1900474070,1h 6m,Vashti Harrison,"30,269 students"
Always Drawing: How to Start and Keep a Daily Sketchbook,https://www.skillshare.com/en/classes/Always-Drawing-How-to-Start-and-Keep-a-Daily-Sketchbook/1516835205,38m,Mike Lowery,"35,619 students"
Premiere Pro Lumetri 2020: Color Correct & Color Grade like a Pro,https://www.skillshare.com/en/classes/Premiere-Pro-Lumetri-2020-Color-Correct-Color-Grade-like-a-Pro/772047744,1h 59m,Jordy Vandeput,"14,524 students"
"iPad Surface Design in Affinity Designer: Vectors, Textures, Artboards, and Repeat Patterns",https://www.skillshare.com/en/classes/iPad-Surface-Design-in-Affinity-Designer-Vectors-Textures-Artboards-and-Repeat-Patterns/1834266222,2h 44m,Liz Kohler Brown,"12,936 students"
Design a Logo in Modern Style,https://www.skillshare.com/en/classes/Design-a-Logo-in-Modern-Style/1200154057,57m,George Bokhua,"46,697 students"
Draw Animals in Procreate: Plus Tips for Art Licensing Sales,https://www.skillshare.com/en/classes/Draw-Animals-in-Procreate-Plus-Tips-for-Art-Licensing-Sales/1422304435,2h 25m,Cat Coquillette,"13,453 students"
DSLR Filmmaking: From Beginner to PRO!,https://www.skillshare.com/en/classes/DSLR-Filmmaking-From-Beginner-to-PRO/1377491876,1h 30m,Jordy Vandeput,"25,811 students"
Design Like Draplin: 21 Tips for Speeding Up Your Design Workflow,https://www.skillshare.com/en/classes/Design-Like-Draplin-21-Tips-for-Speeding-Up-Your-Design-Workflow/897441526,2h 10m,Aaron Draplin,"24,350 students"
Make Creativity Your Career: Six Exercises to Create a Successful Side Project,https://www.skillshare.com/en/classes/Make-Creativity-Your-Career-Six-Exercises-to-Create-a-Successful-Side-Project/1602595214,50m,Andy J. Pizza,"31,731 students"
Getting Started with Email Marketing | Learn with Mailchimp,https://www.skillshare.com/en/classes/Getting-Started-with-Email-Marketing-Learn-with-Mailchimp/133293390,1h 10m,Allyson Van Houten,"57,582 students"
"Storytelling 101: Character, Conflict, Context & Craft",https://www.skillshare.com/en/classes/Storytelling-101-Character-Conflict-Context-Craft/690933742,42m,Daniel José Older,"51,136 students"
The Definitive Guide to T-Shirt Design and Manufacturing,https://www.skillshare.com/en/classes/The-Definitive-Guide-to-T-Shirt-Design-and-Manufacturing/1422249876,48m,Jeff Staple,"27,476 students"
Anyone Can Watercolor: The Basics for Painting Magical Art Beginner Level,https://www.skillshare.com/en/classes/Anyone-Can-Watercolor-The-Basics-for-Painting-Magical-Art-Beginner-Level/516304626,24m,Yasmina Creates,"39,767 students"
Adobe Lightroom: Finding Your Unique Editing Style,https://www.skillshare.com/en/classes/Adobe-Lightroom-Finding-Your-Unique-Editing-Style/100488808,1h 18m,Sean Dalton,"28,872 students"
Hand-Code Your First Website: HTML + CSS Basics,https://www.skillshare.com/en/classes/Hand-Code-Your-First-Website-HTML-CSS-Basics/1575146775,1h 55m,Rich Armstrong,"29,824 students"
"Outdoor Photography: Shooting at Sunset, Sunrise, and Night",https://www.skillshare.com/en/classes/Outdoor-Photography-Shooting-at-Sunset-Sunrise-and-Night/1832925911,1h 7m,Chris Burkard,"36,408 students"
DIY Cinematography: Make Your Video Look Like a Movie,https://www.skillshare.com/en/classes/DIY-Cinematography-Make-Your-Video-Look-Like-a-Movie/1566710562,38m,Ryan Booth,"36,889 students"
Street Photography: Capture the Life of Your City,https://www.skillshare.com/en/classes/Street-Photography-Capture-the-Life-of-Your-City/88669495,1h 24m,Trashhand,"44,886 students"
Stock Market Fundamentals,https://www.skillshare.com/en/classes/Stock-Market-Fundamentals/1905172477,10h 17m,Zac Hartley,"20,286 students"
How Not To Suck At Investing: Understanding Stocks (Part 2),https://www.skillshare.com/en/classes/How-Not-To-Suck-At-Investing-Understanding-Stocks-Part-2/1994746969,42m,Business Casual,"20,189 students"
Level Up your Portrait Drawings: Practical Approaches to Advanced Concepts!,https://www.skillshare.com/en/classes/Level-Up-your-Portrait-Drawings-Practical-Approaches-to-Advanced-Concepts/87542834,2h 14m,Chris Hong,"26,375 students"
Modern Money Habits: 5 Steps to Build the Life You Want,https://www.skillshare.com/en/classes/Modern-Money-Habits-5-Steps-to-Build-the-Life-You-Want/403120065,1h 9m,Justin Bridges,"42,059 students"
Dynamic Brand Identity: Designing Logos That Evolve,https://www.skillshare.com/en/classes/Dynamic-Brand-Identity-Designing-Logos-That-Evolve/239606488,1h 11m,Paula Scher,"29,817 students"
Illustration for Designers: Create Your Own Geometric Animal,https://www.skillshare.com/en/classes/Illustration-for-Designers-Create-Your-Own-Geometric-Animal/34882377,1h 42m,DKNG Studios,"25,353 students"
"Illustration with Draplin: Iterating with Shape, Style, and Color",https://www.skillshare.com/en/classes/Illustration-with-Draplin-Iterating-with-Shape-Style-and-Color/1991718388,2h 8m,Aaron Draplin,"19,925 students"
"Learn How to Draw! Fun & Easy Exercises for Nailing Proportion, Shading, and More",https://www.skillshare.com/en/classes/Learn-How-to-Draw-Fun-Easy-Exercises-for-Nailing-Proportion-Shading-and-More/2127367811,1h 52m,Brooke Glaser,"32,539 students"
Copywriting Basics for Successful Sales: Time-Tested Tactics that Prompt Action,https://www.skillshare.com/en/classes/Copywriting-Basics-for-Successful-Sales-Time-Tested-Tactics-that-Prompt-Action/508541130,1h 21m,Jack Zerby,"21,504 students"
"Going Viral: Write, Film & Make Content People Share",https://www.skillshare.com/en/classes/Going-Viral-Write-Film-Make-Content-People-Share/1600155486,1h 8m,Matt Bellassai,"29,812 students"
"Do Things, Tell People: The Power of Personal Branding",https://www.skillshare.com/en/classes/Do-Things-Tell-People-The-Power-of-Personal-Branding/1492978759,36m,Hamza Khan,"34,328 students"
From Plant to Cup: Brew an Amazing Cup of Coffee,https://www.skillshare.com/en/classes/From-Plant-to-Cup-Brew-an-Amazing-Cup-of-Coffee/351651108,58m,Michael Phillips,"34,434 students"
Art of the Start: Turning Ideas into High-Growth Businesses,https://www.skillshare.com/en/classes/Art-of-the-Start-Turning-Ideas-into-High-Growth-Businesses/449341632,1h 30m,Guy Kawasaki,"30,731 students"
Sketchbook Illustration for All: Draw Your Day with Watercolor & Pen,https://www.skillshare.com/en/classes/Sketchbook-Illustration-for-All-Draw-Your-Day-with-Watercolor-Pen/1484315624,40m,Samantha Dion Baker,"33,281 students"
Modern Watercolor Florals: 3 Ways,https://www.skillshare.com/en/classes/Modern-Watercolor-Florals-3-Ways/1044065230,53m,Amarilys Henderson,"17,869 students"
Learn Adobe Photoshop: Fundamentals for Getting Started,https://www.skillshare.com/en/classes/Learn-Adobe-Photoshop-Fundamentals-for-Getting-Started/333652050,1h 28m,Cat Coquillette,"29,093 students"
