,title,level,language,crediteligibility,link
18859,NetApp ONTAP 9 Storage Essentials,Expert,Chinese,No,https://www.skillshare.com/en/classes/Find-Your-Style-Five-Exercises-to-Unlock-Your-Creative-Identity/1945270638
15236,Intro to Bitcoin & Cryptos,Beginner,English,Yes,https://www.skillshare.com/en/classes/YouTube-for-Beginners-How-to-Start-Grow-Your-YouTube-Channel/1956780612
21764,PowerPoint 2016 Foundation Training Course | Office 365,Beginner,English,No,https://www.skillshare.com/en/classes/Interior-Design-Basics-Simple-Steps-to-Your-Perfect-Space/241319736
15480,Small business tax secrets every owner needs to know,Expert,Spanish,No,https://www.skillshare.com/en/classes/Adobe-InDesign-CC-Essentials-Training-Course/1170360090
3668,React Three Fiber,Beginner,English,Yes,https://www.skillshare.com/en/classes/Style-Your-Space-Creative-Tips-and-Techniques-for-Interior-Design/361571274
15423,Mastering High Probability Iron Condor Options Trading,All Levels,Spanish,No,https://www.skillshare.com/en/classes/Basic-Skills-Getting-Started-with-Drawing/637385311
25062,Color Grading with Da Vinci Resolve:  Beginner to Advanced,All Levels,German,Yes,https://www.skillshare.com/en/classes/Introduction-to-SEO-Tactics-and-Strategy-for-Entrepreneurs/681600915
6421,Learn to create database Apps Using C# and SQL Server,Beginner,Chinese,No,https://www.skillshare.com/en/classes/Modern-Watercolor-Techniques-Beginners-Level/576876085
13678,IFRS - A Complete Course on IFRS,Expert,Spanish,Yes,https://www.skillshare.com/en/classes/Productivity-Habits-That-Stick-Using-Time-Theming/1216959000
11844,Start A Profitable Freelance Writing Business In 5 Weeks,Beginner,French,No,https://www.skillshare.com/en/classes/Video-Editing-with-Final-Cut-Pro-X-From-Beginner-to-YouTuber/317873419
4037,Starting 2D Game Development in Unity with C#,Beginner,English,No,https://www.skillshare.com/en/classes/How-to-Organise-your-Workflow-to-Maximise-Productivity/1036212713
9636,230+ Exercises - Python for Data Science - NumPy + Pandas,Beginner,Spanish,Yes,https://www.skillshare.com/en/classes/The-Beginners-Guide-to-Adobe-After-Effects/1758053045
9909,New Manager: The Basics and More of Being a Great Leader,Beginner,French,Yes,https://www.skillshare.com/en/classes/Gesture-An-Introduction-to-the-Art-of-Figure-Drawing/151296615
19435,ETAP Power System Analysis For Electrical Engineers,All Levels,Chinese,Yes,https://www.skillshare.com/en/classes/Learn-Anything-With-Flashcards-The-Ultimate-Guide-To-Anki/1530220171
10992,Fifteen Great CTO Leadership Hacks,All Levels,Spanish,Yes,https://www.skillshare.com/en/classes/Typography-That-Works-Typographic-Composition-and-Fonts/1694217981
20550,Design Patterns in C# Made Simple,Intermediate,English,No,https://www.skillshare.com/en/classes/Mastering-Illustrator-10-Tips-Tricks-to-Speed-Up-Your-Workflow/1583544555
10862,IT for recruiters and talent management professionals,Beginner,German,Yes,https://www.skillshare.com/en/classes/Learn-to-Draw-Daily-Practices-to-Improve-Your-Drawing-Skills/1948270521
20904,Build Portfolio App | With ReactJS & Bootstrap,Expert,Spanish,No,https://www.skillshare.com/en/classes/Freelancing-for-Beginners/1262489332
20406,Data Engineering on Google Cloud platform,Intermediate,Chinese,Yes,https://www.skillshare.com/en/classes/Going-Freelance-Building-and-Branding-Your-Own-Success/1018002097
9266,Star Rating Project AJAX with JSON response from PHP MySQL,Beginner,Spanish,Yes,https://www.skillshare.com/en/classes/Introduction-to-Designing-Repeat-Patterns-in-Illustrator/1356401580
14782,The Simplest Bitcoin Trading Strategy + Bitcoin Robot,Beginner,German,No,https://www.skillshare.com/en/classes/Character-Illustration-Drawing-Faces-Figures-Clothing/1906734506
17917,CMA (USA) Part 2 Practice Test - Practice Kit 1,Beginner,Chinese,No,https://www.skillshare.com/en/classes/Notion-Masterclass-Maximise-Your-Productivity-Organisation/1533502361
19987,"LDAP Directory Services  : Concepts, Setup and Configuration",All Levels,Chinese,No,https://www.skillshare.com/en/classes/Demystifying-Graphic-Design-How-Posters-Work/1938197477
6602,React Crashcourse for Beginners with a Hands-On Project,All Levels,English,Yes,https://www.skillshare.com/en/classes/Ink-Drawing-Techniques-Brush-Nib-and-Pen-Style/1970343004
19368,ARM Cortex M Microcontroller DMA Programming Demystified,Expert,English,No,https://www.skillshare.com/en/classes/Spanish-for-Beginners-The-complete-Method-Level-1/882535195
8952,"Web Development Foundation: Learn HTML5, CSS3 & Bootstrap",Expert,French,Yes,https://www.skillshare.com/en/classes/User-Experience-Design-Essentials-Adobe-XD-UI-UX-Design/1581992558
19359,Learn Blockchain Technology & Cryptocurrency in Java,Expert,English,No,https://www.skillshare.com/en/classes/Becoming-an-Instagram-Influencer-Creating-Authentic-Content-and-Monetizing-Your-Following/1056842644
25520,OSHA Safety Pro: Trenching Excavation & Soil Mechanics,Intermediate,French,No,https://www.skillshare.com/en/classes/YouTube-Success-Build-an-Authentic-Channel-Thats-Worth-the-Follow/480771818
19897,Solidworks Sheet Metal,Intermediate,Spanish,No,https://www.skillshare.com/en/classes/Modern-Watercolor-Techniques-Explore-Skills-to-Create-On-Trend-Paintings/1683110453
3601,The Complete Spark AR Course: Build 10 Instagram AR Effects,All Levels,English,No,https://www.skillshare.com/en/classes/Graphic-Design-Masterclass-Learn-GREAT-Design/971251681
12572,Agent Payday: The Complete Done-For-You Real Estate Business,Beginner,English,No,https://www.skillshare.com/en/classes/Acrylic-Painting-Learn-the-Basics-For-Beginners/1186449914
22894,Self-Discipline Hacks: Increase Productivity & Achieve Goals,All Levels,German,No,https://www.skillshare.com/en/classes/Adobe-Illustrator-CC-%E2%80%93-Advanced-Training/133378273
3739,Machine Learning for Apps,Beginner,English,No,https://www.skillshare.com/en/classes/Logotype-Masterclass-with-Jessica-Hische/485120923
3776,A Complete Guide to the JAMstack and React E-Commerce,Intermediate,English,Yes,https://www.skillshare.com/en/classes/Drawing-Seamless-Patterns-in-Procreate-Professional-Surface-Design-Tips/1758731626
19214,AZ-305: Azure Solutions Architect Expert (updated July 2023),Intermediate,English,Yes,https://www.skillshare.com/en/classes/Advanced-Video-Editing-with-Adobe-Premiere-Pro/1103032154
8293,Understanding Advance PHP Techniques with OOP | AJAX | MySQL,Expert,French,Yes,https://www.skillshare.com/en/classes/The-Staples-of-Branding-From-Purpose-to-Product/915436837
21111,Microsoft Excel - Excel from Beginner to Advanced,Expert,English,Yes,https://www.skillshare.com/en/classes/Finding-Instagram-Success-Build-an-Account-People-Care-About/1822503573
21541,Microsoft Excel 2016  - The Comprehensive Excel 2016 Guide ,All Levels,English,Yes,https://www.skillshare.com/en/classes/Context-is-Key-Social-Media-Strategy-in-a-Noisy-Online-World/101309737
7558,Make your own Netflix clone website 101,Expert,Chinese,Yes,https://www.skillshare.com/en/classes/Circular-Logo-Design-with-Draplin-Combine-Type-Icons-in-a-Classic-Shape/92531535
8557,TABLEAU 2018: Hands-On Tableau Training For Data Science!,Intermediate,German,No,https://www.skillshare.com/en/classes/Fun-With-Faces-Create-a-Stylised-Digital-Portrait/891639135
24361,Step by Step DV360 Tutorial - 2023 (Programmatic Ads),All Levels,Chinese,Yes,https://www.skillshare.com/en/classes/Photography-Essentials-Understanding-the-Basics/803714422
25132,Final Cut Pro X - Beginner To Advanced (FCP MASTERY 2023),All Levels,French,No,https://www.skillshare.com/en/classes/Building-a-Career-in-Illustration-Explore-Print-On-Demand-Learn-with-Society6/2139207703
1448,Docker Swarm: BEGINNER + ADVANCED,Beginner,English,No,https://www.skillshare.com/en/classes/Design-a-Female-Character-Sketching-Portraits-with-Pencils/2134946450
18320,Learn Options Trading : Futures & Options Trading [Basic],Intermediate,French,No,https://www.skillshare.com/en/classes/Discovering-Success-7-Exercises-to-Uncover-Your-Purpose-Passion-Path/1924221135
2752,Practical Java Basics Course with Real-life Examples,Beginner,Chinese,No,https://www.skillshare.com/en/classes/Botanical-Line-Drawing/1406099508
15031,Learn Bookkeeping on Fast track (Step by Step Learning) 2023,Beginner,Chinese,No,https://www.skillshare.com/en/classes/Form-Space-3D-Drawing-Perspective/321249278
21952,Microsoft Word 2016 - Bootcamp - Zero to Hero training,Beginner,German,No,https://www.skillshare.com/en/classes/Adobe-Photoshop-CC-%E2%80%93-Advanced-Training-Course/1918882966
20321,Hyperparameter Optimization for Machine Learning,Intermediate,German,No,https://www.skillshare.com/en/classes/Copywriting-For-Beginners-How-To-Write-Web-Copy-That-Sells-Without-Being-Cheesy/627184083
9263,CSS Infinity - Creative CSS Animation Course,Intermediate,Spanish,No,https://www.skillshare.com/en/classes/Logo-Design-with-Grids-Timeless-Style-from-Simple-Shapes/683637231
17792,Canadian Corporate Finance and Financial Modelling,Expert,German,No,https://www.skillshare.com/en/classes/Lettering-for-Designers-One-Drop-Cap-Letterform-at-a-Time/1412984025
6178,RPA:Microsoft Power Automate Desktop:Intelligent Automation,All Levels,French,No,https://www.skillshare.com/en/classes/Figma-UI-UX-Design-Essentials/1088693386
8858,"iOS Maze Games with Swift, Sprite Kit and Designed in Tiled",Intermediate,Spanish,Yes,https://www.skillshare.com/en/classes/Productivity-Today-Managing-Attention-in-the-Digital-Age-Learn-with-Todoist/1016846630
2819,Complete React Ultimate Guide | eCommerce | Hooks | Redux,Expert,French,Yes,https://www.skillshare.com/en/classes/Document-Your-Life-4-Methods-to-Live-More-Intentionally/172991537
10643,Source and Sell on Amazon FBA [Without Private Labeling],Expert,English,No,https://www.skillshare.com/en/classes/Real-Productivity-Create-Your-Ideal-Week/1067827918
21084,Blue Prism AD01 Certified Developer Practice Exams,Intermediate,Spanish,No,https://www.skillshare.com/en/classes/E-Commerce-Essentials-How-to-Start-a-Successful-Online-Business/121692420
8845,The Ultimate Chef Training Course: DevOps Automation,All Levels,English,No,https://www.skillshare.com/en/classes/Creative-Writing-Crafting-Personal-Essays-with-Impact/1709959838
4783,Advanced WordPress & Elementor 2023 | Build Dynamic Websites,Intermediate,Chinese,No,https://www.skillshare.com/en/classes/Hand-Lettering-Essentials-for-Beginners/389616295
3100,Learn By Example: C++ Programming - 75 Solved Problems,Intermediate,Chinese,No,https://www.skillshare.com/en/classes/You-Can-Draw-Anything-In-3-Simple-Steps-Learn-Drawing-for-Beginners/1944669273
22577,Microsoft Excel 101 - Excel Basics Beginner Course,All Levels,Spanish,Yes,https://www.skillshare.com/en/classes/Design-Great-Stuff-How-to-Make-Merch-with-Draplin/597293942
22525,Zoho CRM: Complete User Training for Managing Your Business,Expert,German,No,https://www.skillshare.com/en/classes/Make-a-Living-as-an-Artist-Strategies-for-Crafting-Your-Creative-Business/2111414146
2232,Talend + SQL + Datawarehousing - Beginner to Professional,All Levels,French,Yes,https://www.skillshare.com/en/classes/Hand-Lettering-in-Procreate-Fundamentals-to-Finishing-Touches/1749196794
24350,LinkedIn Marketing: Personal Branding and Lead Generation,Expert,Spanish,Yes,https://www.skillshare.com/en/classes/Mastering-Illustration-Sketching-Inking-Color-Essentials/1576657189
7809,Python Development Essentials,Intermediate,Chinese,Yes,https://www.skillshare.com/en/classes/Adobe-Premiere-Pro-CC-%E2%80%93-Essentials-Training-Course/213307785
19139,GCP Associate Cloud Engineer Certification : Google Cloud,Expert,French,No,https://www.skillshare.com/en/classes/ODD-BODIES-Illustrating-Expressive-Stylized-People/562332090
24443,How to Create a Marketing Video for Your Business or Product,Beginner,German,Yes,https://www.skillshare.com/en/classes/Excel-for-the-Real-World-Gain-the-Basic-Skills-of-Microsoft-Excel/599396565
4170,Deep Reinforcement Learning: Hands-on AI Tutorial in Python,Intermediate,Spanish,Yes,https://www.skillshare.com/en/classes/How-to-be-Happier-Stoicism-Masterclass/928999366
9426,Manual Software Testing,Expert,English,No,https://www.skillshare.com/en/classes/How-to-Discover-Profitable-Design-Trends-Before-Anyone-Else-%E2%80%93-and-Create-Artwork-with-Mass-Appeal/1906420066
10244,Conflict Management at Work: Real World Strategies & Tools,All Levels,English,Yes,https://www.skillshare.com/en/classes/Building-an-Etsy-Shop-that-Sells-Strategies-for-E-Commerce-Success/1429447927
9040,"Top Web Development Bundle: Django, Ruby on Rails, Node",Beginner,Chinese,Yes,https://www.skillshare.com/en/classes/Introduction-to-Social-Media-Strategy-Learn-with-Buffer/1934895986
5754,Learn HTML5 and CSS3 and Build a Professional Website,Beginner,English,No,https://www.skillshare.com/en/classes/Animating-With-Ease-in-Adobe-After-Effects/1372682458
16863,How to mint NFTs for Free - Step by Step NFT Course,Beginner,Chinese,Yes,https://www.skillshare.com/en/classes/The-Writers-Toolkit-6-Steps-to-a-Successful-Writing-Habit/1072824603
24033,Lumion 8 -  Beginner to Advanced,Expert,Chinese,No,https://www.skillshare.com/en/classes/DSLR-Photography-II-Understanding-Lenses-Focal-Length-Shooting/378823504
14660,Corporate Finance #6 Management of Current Assets,Expert,Chinese,Yes,https://www.skillshare.com/en/classes/Instagram-Worthy-Photography%C2%A0Shoot-Edit-Share-with-Brandon-Woelfel/1319232842
12064,Construction Delay Analysis,All Levels,German,No,https://www.skillshare.com/en/classes/Storytelling-for-Leaders-How-to-Craft-Stories-That-Matter/1980968673
15130,Statistics and probability for Quantitative finance,Expert,French,Yes,https://www.skillshare.com/en/classes/Baugasm%E2%84%A2-Series-1-Create-Experimental-Gradients-and-Posters/13878749
12044,Prerequisite to Cultural Compassion,Beginner,English,Yes,https://www.skillshare.com/en/classes/Unlocking-Your-Potential-5-Exercises-to-Build-Creative-Confidence/1109027672
1483,Python & Introduction to Data Science,Beginner,German,No,https://www.skillshare.com/en/classes/Graphic-Illustration-Boldly-Design-with-Color-and-Shape/1266193104
14543,Strategies for Stocks Picking and Options Trading,All Levels,English,No,https://www.skillshare.com/en/classes/Personal-Branding-Crafting-Your-Social-Media-Presence/637661219
13169,Legal Research & Legal Writing - A Paralegal Skills Course,Intermediate,English,Yes,https://www.skillshare.com/en/classes/Watercolor-in-the-Woods-A-Beginners-Guide-to-Painting-the-Natural-World/361593593
14007,Comprehensive Forex Mastery Program,All Levels,German,No,https://www.skillshare.com/en/classes/Illustration-Inspiration-Keeping-a-Sketchbook/1370742359
9564,100 Days of Code: Python Developer Challenge,Intermediate,Spanish,Yes,https://www.skillshare.com/en/classes/Simple-Productivity-How-to-Accomplish-More-With-Less/1481076222
18704,SRE - The Big Picture,Expert,German,No,https://www.skillshare.com/en/classes/Cinematography-Course-Shoot-Expert-Video-on-Any-Camera/49499074
14263,Financial Accounting – Inventory Costs,Intermediate,Spanish,Yes,https://www.skillshare.com/en/classes/Growing-Your-Creative-Business-Through-Instagram/495708486
19302,Linux Security: The Complete Iptables Firewall Guide,All Levels,German,Yes,https://www.skillshare.com/en/classes/Mastering-Color-Simple-Steps-to-Create-Vivid-Art/1711520438
19241,The RedTeam Blueprint - A Unique Guide To Ethical Hacking,Expert,Spanish,Yes,https://www.skillshare.com/en/classes/Productivity-for-Creators-Systems-Organization-Workflow/1147193977
20440,How to Create a Secure Website With WordPress,Beginner,German,No,https://www.skillshare.com/en/classes/Analytics-Authenticity-on-Instagram-Crafting-Your-Digital-Presence/1356039187
15606,How to Trade Binary Options Effectively – All Levels,Expert,Chinese,No,https://www.skillshare.com/en/classes/Stand-Out-on-YouTube-Build-a-Successful-Channel-with-Jazza/2004067742
13634,Banking Credit Analysis Process (for Bankers),Beginner,German,No,https://www.skillshare.com/en/classes/Draw-A-Diary-Comic/1229064110
19831,Java Design Patterns: The Complete Masterclass - 21 Patterns,Intermediate,Chinese,Yes,https://www.skillshare.com/en/classes/Responsive-Web-Design-Essentials-HTML5-CSS3-Bootstrap/236553264
15196,Trading Secrets: My Simple B-Band Forex 90% Win Rate Method,All Levels,Spanish,No,https://www.skillshare.com/en/classes/A-Step-by-Step-Guide-to-Art-Licensing-Sell-Your-First-Piece-of-Artwork-Online/2025000313
21516,SAP MM -Material Management Simplified For Beginners,Intermediate,Chinese,Yes,https://www.skillshare.com/en/classes/Illustrating-in-Procreate-Drawing-a-Shareable-Timelapse/1900474070
733,JavaScript Unit Testing - The Practical Guide,Beginner,English,Yes,https://www.skillshare.com/en/classes/Always-Drawing-How-to-Start-and-Keep-a-Daily-Sketchbook/1516835205
25813,Pianoforall - 'Classics By Ear' - Bach Preludes,All Levels,English,No,https://www.skillshare.com/en/classes/Premiere-Pro-Lumetri-2020-Color-Correct-Color-Grade-like-a-Pro/772047744
19287,Certified Information Security Manager (CISM),All Levels,German,No,https://www.skillshare.com/en/classes/iPad-Surface-Design-in-Affinity-Designer-Vectors-Textures-Artboards-and-Repeat-Patterns/1834266222
15208,Preparation for CDCS exam,Expert,English,Yes,https://www.skillshare.com/en/classes/Design-a-Logo-in-Modern-Style/1200154057
5784,Create a Simple Blog CMS in PHP and MYSQL,Intermediate,German,No,https://www.skillshare.com/en/classes/Draw-Animals-in-Procreate-Plus-Tips-for-Art-Licensing-Sales/1422304435
23858,Female anatomy for artists,Beginner,Spanish,Yes,https://www.skillshare.com/en/classes/DSLR-Filmmaking-From-Beginner-to-PRO/1377491876
11061,Agile Project Management | Agile Delivery | Agile Teams,Intermediate,French,Yes,https://www.skillshare.com/en/classes/Design-Like-Draplin-21-Tips-for-Speeding-Up-Your-Design-Workflow/897441526
14381,Price Action Trading Strategy: Advanced Forex Trading Course,Intermediate,Spanish,Yes,https://www.skillshare.com/en/classes/Make-Creativity-Your-Career-Six-Exercises-to-Create-a-Successful-Side-Project/1602595214
6551,Practical Neural Networks and Deep Learning in Python,Intermediate,German,Yes,https://www.skillshare.com/en/classes/Getting-Started-with-Email-Marketing-Learn-with-Mailchimp/133293390
4788,HTML and CSS for complete Beginners,Beginner,Chinese,No,https://www.skillshare.com/en/classes/Storytelling-101-Character-Conflict-Context-Craft/690933742
15001,FOREX TRADING NOMAD | GET FUNDED BY INVESTORS IN Autumn 2023,All Levels,French,Yes,https://www.skillshare.com/en/classes/The-Definitive-Guide-to-T-Shirt-Design-and-Manufacturing/1422249876
22858,Success: How to Set and Achieve Goals,Expert,Spanish,Yes,https://www.skillshare.com/en/classes/Anyone-Can-Watercolor-The-Basics-for-Painting-Magical-Art-Beginner-Level/516304626
25929,101 Awesome Rockabilly Guitar Licks,Intermediate,Chinese,No,https://www.skillshare.com/en/classes/Adobe-Lightroom-Finding-Your-Unique-Editing-Style/100488808
2157,Top Node and Javascript Bundle: Learn Node and JS,Beginner,Spanish,Yes,https://www.skillshare.com/en/classes/Hand-Code-Your-First-Website-HTML-CSS-Basics/1575146775
14737,Corporate Debt Restructuring and Bankruptcy,Expert,Spanish,Yes,https://www.skillshare.com/en/classes/Outdoor-Photography-Shooting-at-Sunset-Sunrise-and-Night/1832925911
993,Angular Material In Depth (Angular 17),Intermediate,English,No,https://www.skillshare.com/en/classes/DIY-Cinematography-Make-Your-Video-Look-Like-a-Movie/1566710562
4285,Apache PySpark Fundamentals,Intermediate,English,Yes,https://www.skillshare.com/en/classes/Street-Photography-Capture-the-Life-of-Your-City/88669495
23406,Learn To Communicate With Animals & Nature,All Levels,French,No,https://www.skillshare.com/en/classes/Stock-Market-Fundamentals/1905172477
18713,Snowflake Masterclass[stored proc+demos+Best practices+Labs],All Levels,Chinese,No,https://www.skillshare.com/en/classes/How-Not-To-Suck-At-Investing-Understanding-Stocks-Part-2/1994746969
8887,Design & Build Test Framework with Python Pytest | API Tests,Intermediate,Spanish,Yes,https://www.skillshare.com/en/classes/Level-Up-your-Portrait-Drawings-Practical-Approaches-to-Advanced-Concepts/87542834
23731,Adobe Audition CC Audio Production Course Basics to Expert,Expert,Chinese,No,https://www.skillshare.com/en/classes/Modern-Money-Habits-5-Steps-to-Build-the-Life-You-Want/403120065
19069,Wireshark Tutorial - Get Wireshark Certification,Beginner,French,Yes,https://www.skillshare.com/en/classes/Dynamic-Brand-Identity-Designing-Logos-That-Evolve/239606488
18656,Cyber Security Operations and Technology Solutions,Intermediate,French,Yes,https://www.skillshare.com/en/classes/Illustration-for-Designers-Create-Your-Own-Geometric-Animal/34882377
4730,The Complete MERN Stack Development course 2021,Intermediate,German,Yes,https://www.skillshare.com/en/classes/Illustration-with-Draplin-Iterating-with-Shape-Style-and-Color/1991718388
11462,Successful HR in Business,Expert,Chinese,No,https://www.skillshare.com/en/classes/Learn-How-to-Draw-Fun-Easy-Exercises-for-Nailing-Proportion-Shading-and-More/2127367811
25223,Sony Photography: Getting Started with Your Sony Camera,Beginner,German,Yes,https://www.skillshare.com/en/classes/Copywriting-Basics-for-Successful-Sales-Time-Tested-Tactics-that-Prompt-Action/508541130
3799,Introduction to Java Programming for Online Learners,Beginner,German,No,https://www.skillshare.com/en/classes/Going-Viral-Write-Film-Make-Content-People-Share/1600155486
21882,Excel for Beginners - Navigation - Pivot Tables- and VLookup,Beginner,Chinese,Yes,https://www.skillshare.com/en/classes/Do-Things-Tell-People-The-Power-of-Personal-Branding/1492978759
20502,Ethical Hacking Course:  Protect Yourself From Being Hacked,Beginner,English,No,https://www.skillshare.com/en/classes/From-Plant-to-Cup-Brew-an-Amazing-Cup-of-Coffee/351651108
25919,"Audio Production, Level 1 - Beginners",Beginner,Spanish,Yes,https://www.skillshare.com/en/classes/Art-of-the-Start-Turning-Ideas-into-High-Growth-Businesses/449341632
16547,Complete Day Trading for beginners + trading strategies,All Levels,Spanish,Yes,https://www.skillshare.com/en/classes/Sketchbook-Illustration-for-All-Draw-Your-Day-with-Watercolor-Pen/1484315624
2111,Azure Data Factory Training--Continuous Integration/Delivery,Beginner,German,No,https://www.skillshare.com/en/classes/Modern-Watercolor-Florals-3-Ways/1044065230
11021,Professional Diploma in Office Administration Management,All Levels,Chinese,No,https://www.skillshare.com/en/classes/Learn-Adobe-Photoshop-Fundamentals-for-Getting-Started/333652050
6235,PHP with MySQL 2023: Build Real Estate Management System,Expert,Chinese,No,https://www.skillshare.com/en/classes/3D-Illustration-Creating-Isometric-Designs-in-Adobe-Illustrator/413873071
11782,Master Course in Business Etiquette,Expert,English,Yes,https://www.skillshare.com/en/classes/Dynamic-Mark-Making-Drawing-with-Expression-Creativity/77652048
13075,Management Principles,Expert,French,No,https://www.skillshare.com/en/classes/Writing-for-Self-Discovery-6-Journaling-Prompts-for-Gratitude-and-Growth/2057963364
19636,"AWS Fargate & ECS - Masterclass | Microservices, Docker, CFN",Expert,French,No,https://www.skillshare.com/en/classes/Creativity-Unleashed-Discover-Hone-and-Share-Your-Voice-Online/927988375
19743,Informatica Power Center Administration,Intermediate,English,Yes,https://www.skillshare.com/en/classes/Introduction-to-Modern-Script-Calligraphy/581900124
21753,Microsoft Project 2021 for Beginners: Learn the Fundamentals,Beginner,Spanish,No,https://www.skillshare.com/en/classes/Blender-3D-Your-First-3D-Character/527979685
23336,Complete Willpower Course - Build Self Control & Good Habits,Expert,Chinese,Yes,https://www.skillshare.com/en/classes/Designing-The-Life-You-Want-4-Exercises-for-Clarity-and-Motivation/1203862507
9033,Building a Super Smash Bros. Fighting Game in Unity,Beginner,Spanish,No,https://www.skillshare.com/en/classes/Color-Theory-for-Illustrators-A-Fun-Beginner%E2%80%99s-Guide-to-Creative-Color/410198034
896,Learn C++ by Creating,Beginner,Spanish,No,https://www.skillshare.com/en/classes/Knife-Skills-A-Mini-Class-to-Chop-Like-a-Chef/1266930828
19196,AIX Administration for Absolute Beginners: Better than Linux,All Levels,Chinese,Yes,https://www.skillshare.com/en/classes/Start-Your-Creative-Career-Build-a-Sharp-Smart-Online-Presence/1005632159
12346,Your 6-Figure Guide to Facebook Marketplace Dropshipping,Expert,German,No,https://www.skillshare.com/en/classes/Sweet-Spots-Expressing-Big-Ideas-in-Small-Editorial-Illustrations/422810879
640,Unit Testing Dotnet (.NET) Application with xUnit .net & MOQ,Expert,Spanish,Yes,https://www.skillshare.com/en/classes/Learn-Figma-User-Interface-Design-Essentials-UIUX-Design/975237270
6714,Master DevOps Jenkins CI/CD Pipelines W/ DSLs For Developers,Intermediate,English,Yes,https://www.skillshare.com/en/classes/Hand-Sewing-Basics-Work-Wonders-with-Fabric-Needle-Thread/467604165
6580,Learn SDET Essentials - Full Stack QA Automation,Expert,English,No,https://www.skillshare.com/en/classes/Adobe-After-Effects-CC-Animated-Infographic-Video-Data-Visualisation/1411469263
9898,Master SQL For Data Science,Intermediate,English,No,https://www.skillshare.com/en/classes/Music-Theory-Comprehensive-Part-1-How-To-Read-Music/465860044
24247,Fast & effective Landing Page course: Start converting today,Expert,English,No,https://www.skillshare.com/en/classes/The-Style-Class-Work-Out-Your-Illustration-Style-in-a-Daily-Project/689559354
8233,100 Python Challenges,Beginner,Spanish,No,https://www.skillshare.com/en/classes/Surface-Pattern-Design-2-0-Design-a-Collection-Start-a-Career/1603696556
